,Solvent,dH (kJ/mol),dS (J/mol/K),BASE_State,BASE_Category,Canonical SMILES,Source,GT_Data,BASE_Monomer_State,BASE_Polymer_State,Solvent_SMILES,Solvent_SMILES_2,SOLV_PARAM_s_g,SOLV_PARAM_b_g,SOLV_PARAM_e_g,SOLV_PARAM_l_g,SOLV_PARAM_a_g,SOLV_PARAM_c_g,SOLV_PARAM_visc at 298 K (cP),SOLV_PARAM_dielectric constant,PEP_dHf_0,PEP_dHf_1,PEP_dHf_2,PEP_dH_(kcal/mol),TANIMOTO,DIPOLE_mmff94,MIX_dGsolv298(kJ/mol),MIX_dHsolv298(kJ/mol),MIX_dSsolv298(kJ/mol/K),MIX_logK,MIX_logP,SOLUTE_E_GC,SOLUTE_S_GC,SOLUTE_A_GC,SOLUTE_B_GC,SOLUTE_L_GC,SOLUTE_V_GC,SOLUTE_E_ML,SOLUTE_S_ML,SOLUTE_A_ML,SOLUTE_B_ML,SOLUTE_L_ML,SOLUTE_V_ML,RDKIT_MaxAbsEStateIndex,RDKIT_MaxEStateIndex,RDKIT_MinAbsEStateIndex,RDKIT_MinEStateIndex,RDKIT_qed,RDKIT_SPS,RDKIT_MolWt,RDKIT_HeavyAtomMolWt,RDKIT_ExactMolWt,RDKIT_NumValenceElectrons,RDKIT_NumRadicalElectrons,RDKIT_MaxPartialCharge,RDKIT_MinPartialCharge,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_FpDensityMorgan1,RDKIT_FpDensityMorgan2,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_MWHI,RDKIT_BCUT2D_MWLOW,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_LOGPHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_BCUT2D_MRHI,RDKIT_BCUT2D_MRLOW,RDKIT_AvgIpc,RDKIT_BalabanJ,RDKIT_BertzCT,RDKIT_Chi0,RDKIT_Chi0n,RDKIT_Chi0v,RDKIT_Chi1,RDKIT_Chi1n,RDKIT_Chi1v,RDKIT_Chi2n,RDKIT_Chi2v,RDKIT_Chi3n,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_Chi4v,RDKIT_HallKierAlpha,RDKIT_Ipc,RDKIT_Kappa1,RDKIT_Kappa2,RDKIT_Kappa3,RDKIT_LabuteASA,RDKIT_PEOE_VSA1,RDKIT_PEOE_VSA10,RDKIT_PEOE_VSA11,RDKIT_PEOE_VSA12,RDKIT_PEOE_VSA13,RDKIT_PEOE_VSA14,RDKIT_PEOE_VSA2,RDKIT_PEOE_VSA3,RDKIT_PEOE_VSA4,RDKIT_PEOE_VSA5,RDKIT_PEOE_VSA6,RDKIT_PEOE_VSA7,RDKIT_PEOE_VSA8,RDKIT_PEOE_VSA9,RDKIT_SMR_VSA1,RDKIT_SMR_VSA10,RDKIT_SMR_VSA2,RDKIT_SMR_VSA3,RDKIT_SMR_VSA4,RDKIT_SMR_VSA5,RDKIT_SMR_VSA6,RDKIT_SMR_VSA7,RDKIT_SMR_VSA8,RDKIT_SMR_VSA9,RDKIT_SlogP_VSA1,RDKIT_SlogP_VSA10,RDKIT_SlogP_VSA11,RDKIT_SlogP_VSA12,RDKIT_SlogP_VSA2,RDKIT_SlogP_VSA3,RDKIT_SlogP_VSA4,RDKIT_SlogP_VSA5,RDKIT_SlogP_VSA6,RDKIT_SlogP_VSA7,RDKIT_SlogP_VSA8,RDKIT_SlogP_VSA9,RDKIT_TPSA,RDKIT_EState_VSA1,RDKIT_EState_VSA10,RDKIT_EState_VSA11,RDKIT_EState_VSA2,RDKIT_EState_VSA3,RDKIT_EState_VSA4,RDKIT_EState_VSA5,RDKIT_EState_VSA6,RDKIT_EState_VSA7,RDKIT_EState_VSA8,RDKIT_EState_VSA9,RDKIT_VSA_EState1,RDKIT_VSA_EState10,RDKIT_VSA_EState2,RDKIT_VSA_EState3,RDKIT_VSA_EState4,RDKIT_VSA_EState5,RDKIT_VSA_EState6,RDKIT_VSA_EState7,RDKIT_VSA_EState8,RDKIT_VSA_EState9,RDKIT_FractionCSP3,RDKIT_HeavyAtomCount,RDKIT_NHOHCount,RDKIT_NOCount,RDKIT_NumAliphaticCarbocycles,RDKIT_NumAliphaticHeterocycles,RDKIT_NumAliphaticRings,RDKIT_NumAromaticCarbocycles,RDKIT_NumAromaticHeterocycles,RDKIT_NumAromaticRings,RDKIT_NumHAcceptors,RDKIT_NumHDonors,RDKIT_NumHeteroatoms,RDKIT_NumRotatableBonds,RDKIT_NumSaturatedCarbocycles,RDKIT_NumSaturatedHeterocycles,RDKIT_NumSaturatedRings,RDKIT_RingCount,RDKIT_MolLogP,RDKIT_MolMR,RDKIT_fr_Al_COO,RDKIT_fr_Al_OH,RDKIT_fr_Al_OH_noTert,RDKIT_fr_ArN,RDKIT_fr_Ar_COO,RDKIT_fr_Ar_N,RDKIT_fr_Ar_NH,RDKIT_fr_Ar_OH,RDKIT_fr_COO,RDKIT_fr_COO2,RDKIT_fr_C_O,RDKIT_fr_C_O_noCOO,RDKIT_fr_C_S,RDKIT_fr_HOCCN,RDKIT_fr_Imine,RDKIT_fr_NH0,RDKIT_fr_NH1,RDKIT_fr_NH2,RDKIT_fr_N_O,RDKIT_fr_Ndealkylation1,RDKIT_fr_Ndealkylation2,RDKIT_fr_Nhpyrrole,RDKIT_fr_SH,RDKIT_fr_aldehyde,RDKIT_fr_alkyl_carbamate,RDKIT_fr_alkyl_halide,RDKIT_fr_allylic_oxid,RDKIT_fr_amide,RDKIT_fr_amidine,RDKIT_fr_aniline,RDKIT_fr_aryl_methyl,RDKIT_fr_azide,RDKIT_fr_azo,RDKIT_fr_barbitur,RDKIT_fr_benzene,RDKIT_fr_benzodiazepine,RDKIT_fr_bicyclic,RDKIT_fr_diazo,RDKIT_fr_dihydropyridine,RDKIT_fr_epoxide,RDKIT_fr_ester,RDKIT_fr_ether,RDKIT_fr_furan,RDKIT_fr_guanido,RDKIT_fr_halogen,RDKIT_fr_hdrzine,RDKIT_fr_hdrzone,RDKIT_fr_imidazole,RDKIT_fr_imide,RDKIT_fr_isocyan,RDKIT_fr_isothiocyan,RDKIT_fr_ketone,RDKIT_fr_ketone_Topliss,RDKIT_fr_lactam,RDKIT_fr_lactone,RDKIT_fr_methoxy,RDKIT_fr_morpholine,RDKIT_fr_nitrile,RDKIT_fr_nitro,RDKIT_fr_nitro_arom,RDKIT_fr_nitro_arom_nonortho,RDKIT_fr_nitroso,RDKIT_fr_oxazole,RDKIT_fr_oxime,RDKIT_fr_para_hydroxylation,RDKIT_fr_phenol,RDKIT_fr_phenol_noOrthoHbond,RDKIT_fr_phos_acid,RDKIT_fr_phos_ester,RDKIT_fr_piperdine,RDKIT_fr_piperzine,RDKIT_fr_priamide,RDKIT_fr_prisulfonamd,RDKIT_fr_pyridine,RDKIT_fr_quatN,RDKIT_fr_sulfide,RDKIT_fr_sulfonamd,RDKIT_fr_sulfone,RDKIT_fr_term_acetylene,RDKIT_fr_tetrazole,RDKIT_fr_thiazole,RDKIT_fr_thiocyan,RDKIT_fr_thiophene,RDKIT_fr_unbrch_alkane,RDKIT_fr_urea,STERICS_Backbone_Length,STERICS_Side_Chain_Ratio,STERICS_Wiener_Index,STERICS_Chiral_Centers,STERICS_Rad_Gyration,STERICS_VDW_Volume,STERICS_Volume,STERICS_Bridgehead_Atoms,STERICS_Stereocenters
153,toluene,-56.2,-179,ss,ionic,O=CC(F)(Cl)Cl,PHB,FALSE,s,s,CC1=CC=CC=C1,,0.9,0.12,-0.32,1.03,0.59,0.08,0.56,2.2,-88.85,-127.94,-244.51,-27.72,0,2.5,-21.05,-35.55,-0.0487,3.69,3.12,0.2494,0.5692,0,0.3496,2.0579,0.6685,0.3932,0.7766,0.0339,0.2315,2.7314,0.6685,11.2808642,11.2808642,0.198302469,-2.694444444,0.386589686,11.16666667,130.933,129.925,129.9388482,36,0,0.312524223,-0.296886285,0.312524223,0.296886285,1.666666667,1.833333333,1.833333333,35.53939564,10.85916353,2.184491426,-1.908957229,2.170041045,-2.024658985,6.537074386,-0.110507791,1.351644115,3.445991214,57.05865003,5.207106781,2.619491979,4.131349871,2.560660172,1.091324105,1.847253051,0.65946368,1.953042317,0.133630621,0.311804782,0,0,0.18,12.16479704,6.18,1.755631784,4.18,44.0377831,0,0,6.286160523,0,0,4.587123463,4.794537184,0,4.390415048,0,23.20187978,0,0,0,9.184952232,29.4880403,0,0,0,4.587123463,0,0,0,0,0,4.390415048,0,23.20187978,10.87328399,4.794537184,0,0,0,0,0,0,17.07,4.587123463,9.184952232,0,6.286160523,0,0,0,0,0,23.20187978,0,8.586419753,8.896604938,9.1875,0,0,0,0,-0.198302469,0,0,0.5,6,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1.2862,21.609,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,63,0,1.68161093,146.5741468,823.5496646,0,1
154,dichloromethane,-3.8,-12.1,ss,misc,CCCCC#Cc1cc(C=O)c(C=O)cc1C#CCCCC,Functionalized and Degradable Polyphthalionic Derivatives,FALSE,s,s,C(Cl)Cl,,1.72,0.58,-0.69,0.97,0.35,0.19,0.41,8.93,-54.78,-75.8,-140.23,-9.65,0.033,5.42,-14.07,-25.51,-0.0384,2.47,1.49,1.2648,1.4553,0,0.826,9.9343,2.5484,1.1165,1.6823,0.0025,0.8049,10.0982,2.5484,11.08213243,11.08213243,0.369351589,0.369351589,0.442659912,9.181818182,294.394,272.218,294.1619799,114,0,0.150316746,-0.297869819,0.297869819,0.150316746,0.818181818,1.227272727,1.545454545,16.13227672,9.991611219,2.061510974,-2.020361453,2.139603659,-1.956415842,5.91201135,0.109052606,2.552763408,3.16268222,576.3869198,16.20889601,13.36853834,13.36853834,10.76108012,7.824775672,7.824775672,5.073071438,5.073071438,3.233891931,3.233891931,1.889915236,1.889915236,-2.32,80700.50961,17.73081301,10.41305104,5.584014792,132.8620877,0,0,12.57232105,0,0,0,9.589074368,0,0,0,50.37085492,24.97437738,35.09544921,0,9.589074368,12.57232105,0,0,0,52.37240414,0,34.3865401,0,23.68173728,0,0,0,0,12.57232105,0,23.68173728,84.21528447,12.13273414,0,0,0,34.14,0,9.589074368,0,0,23.69922403,49.65183272,0,12.13273414,0,37.52921167,0,0,0,22.16426486,0,2.197594902,12.39805036,3.332367252,7.332945421,4.241443877,0,0.4,22,0,2,0,0,0,1,0,1,2,0,2,6,0,0,0,1,4.395,90.023,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0.5,76,0,2.107028996,146.5741468,823.5496646,0,1
155,,-18.7,-59,ls,ROP,CCCCCCCC1CCCC(=O)O1,Aliphatic Polyester Block Polymer Design,TRUE,l,s,,,,,,,,,,,-129.82,-137.31,-277.73,-10.6,1,4.08,-43.4,-76.24,-0.11,7.61,4.08,0.3462,1.2897,0,0.3741,7.1093,1.7652,0.3233,1.4533,0.0049,0.6235,7.1095,1.7652,10.98643372,10.98643372,0.009081659,0.009081659,0.482462535,22.07142857,198.306,176.13,198.1619799,82,0,0.305556435,-0.462363535,0.462363535,0.305556435,1.285714286,2.071428571,2.785714286,16.54409074,10.01874205,2.18708726,-2.214616956,2.18976923,-2.226820344,5.696452646,-0.15355202,2.176362007,1.973470264,165.7046644,10.22576835,9.257807881,9.257807881,6.825698503,6.021107304,6.021107304,4.206985288,4.206985288,2.834765595,2.834765595,1.956639174,1.956639174,-0.53,1590.920627,11.54423905,6.855082122,4.635211794,87.02285046,4.736862954,6.103966388,0,0,0,5.969305288,4.794537184,0,0,0,32.60702369,25.68328649,6.420821623,0,9.531400138,5.969305288,0,0,0,70.81509819,0,0,0,0,0,0,0,0,12.07327168,9.531400138,0,64.71113181,0,0,0,0,26.3,0,4.794537184,0,12.07327168,6.420821623,19.26246487,32.10410811,0,0,6.9237372,4.736862954,5.253918178,0,10.98643372,0,0,0.009081659,0,10.52545367,2.225112764,0,0.916666667,14,0,2,0,1,1,0,0,0,2,0,2,6,0,1,1,1,3.4426,57.107,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0.5,583,0,3.602286272,342.0063426,1921.615884,0,1
156,,-18.4,-58,ls,ROP,CCCCCCC1CCCC(=O)O1,Aliphatic Polyester Block Polymer Design,TRUE,l,s,,,,,,,,,,,-124.92,-132.41,-267.93,-10.6,1,4.06,-40.81,-71.93,-0.1,7.15,3.64,0.3462,1.2897,0,0.3741,6.6168,1.6243,0.3332,1.4561,0.005,0.6184,6.5985,1.6243,10.94011141,10.94011141,0.006242153,0.006242153,0.484619222,22.84615385,184.279,164.119,184.1463299,76,0,0.305556435,-0.462363535,0.462363535,0.305556435,1.384615385,2.230769231,2.923076923,16.54408928,10.02290365,2.18672857,-2.214262303,2.187362945,-2.226770139,5.696449146,-0.153551969,2.127620265,2.031008355,154.1692686,9.518661569,8.5507011,8.5507011,6.325698503,5.521107304,5.521107304,3.853431898,3.853431898,2.584765595,2.584765595,1.779862478,1.779862478,-0.53,961.6843599,10.55019246,6.005092742,4.298161686,80.65790835,4.736862954,6.103966388,0,0,0,5.969305288,4.794537184,0,0,0,26.18620207,25.68328649,6.420821623,0,9.531400138,5.969305288,0,0,0,64.39427657,0,0,0,0,0,0,0,0,12.07327168,9.531400138,0,58.29031018,0,0,0,0,26.3,0,4.794537184,0,12.07327168,6.420821623,19.26246487,25.68328649,0,0,6.9237372,4.736862954,5.22758716,0,10.94011141,0,0,0.006242153,0,9.117096325,2.208962952,0,0.909090909,13,0,2,0,1,1,0,0,0,2,0,2,5,0,1,1,1,3.0525,52.49,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0.47,476,0,3.320861611,317.5773182,1784.357607,0,1
157,dichloromethane,-0.8,-2.5,ss,cationic,COP1(=O)OCCCO1,PHB,FALSE,s,s,C(Cl)Cl,,1.72,0.58,-0.69,0.97,0.35,0.19,0.41,8.93,-146.59,-174.42,-331.61,-10.6,0,3.29,-17.05,-30.29,-0.0444,2.99,2.01,0.3185,1.2329,0,0.9332,4.8099,1.003,0.3308,1.2009,0.087,1.0379,4.2902,1.003,10.93527778,10.93527778,0.463410494,-3.094328704,0.528915894,25.88888889,152.086,143.014,152.0238454,54,0,0.474010395,-0.2902299,0.474010395,0.2902299,1.444444444,2,2.333333333,31.20492447,10.50175241,2.268627968,-2.191276104,2.499767718,-2.080812082,7.480391206,0.087972031,1.902158836,2.469113776,124.529325,6.742640687,5.201527101,6.095954292,4.267766953,2.715895303,4.17648879,1.649788352,3.425761694,1.011083884,2.455901383,0.554308863,1.545075458,0.11,121.7381655,7.219769484,2.795579,1.76156183,53.71849258,0,0,0,0,0,7.822697123,13.57124149,4.565048285,0,0,0,6.420821623,7.109797541,13.21376393,18.13628977,7.822697123,0,0,0,6.420821623,20.32356147,0,0,0,0,0,0,7.822697123,20.32356147,18.13628977,0,6.420821623,0,0,0,0,44.76,7.822697123,4.565048285,0,0,13.21376393,6.420821623,7.109797541,0,0,4.523747162,9.047494323,24.87638889,0,0,0,0,0,0,0.785069444,0.926820988,-1.782723765,1,9,0,4,0,1,1,0,0,0,4,0,5,1,0,1,1,1,1.1778,31.1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.27,188,0,1.898187764,219.8612203,1235.324497,0,1
158,dichloroethane,-25.6,-80,ss,ROP,S=C1OC2C=CCOC2CS1,UV degradation of poly(lactic acid) materials through copolymerisation with a sugar-derived cyclic xanthate,FALSE,s,s,ClCCCl,,1.82,0.34,-0.51,0.92,0.83,0.06,0.78,10.7,-26.93,-46.71,-73.64,0,0,4.15,-19.92,-31.72,-0.0396,3.49,2.18,1.2165,1.3279,0,0.7362,6.6848,1.2361,1.3615,1.303,-0.0527,0.6779,6.2768,1.2361,5.437916667,5.437916667,0.06712963,0.06712963,0.421666078,36.18181818,188.273,180.209,187.9965715,60,0,0.220251233,-0.468202167,0.468202167,0.220251233,1.636363636,2.545454545,3.454545455,32.18115001,10.15582714,2.292840139,-2.313974719,2.244309324,-2.39168976,8.222138083,0.005077564,2.041225829,2.080272412,202.6172546,7.681798276,5.856607801,7.489600963,5.360173345,3.477623807,4.871470657,2.443408355,4.065416823,1.696477042,2.973382303,1.141030826,2.221671342,-0.06,487.8529731,7.581959098,3.126689735,1.57607573,74.93661911,9.473725908,12.20793278,0,4.382659644,0,0,0,0,0,0,17.83790506,18.29389355,5.752853607,6.606881965,9.473725908,28.36241804,0,0,0,12.20793278,12.35973557,12.15204021,0,0,0,0,0,23.97975839,28.95032799,9.473725908,0,0,12.15204021,0,0,0,18.46,0,0,0,12.20793278,10.98954161,5.752853607,0,11.76188495,12.15204021,0,21.69159935,11.45092593,6.479402872,0,0,0,0.924444444,0,4.272361111,0.70619898,0,0.571428571,11,0,2,0,2,2,0,0,0,4,0,4,0,0,1,1,2,1.3583,48.809,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0.38,264,0,2.40290437,268.7192692,1509.841052,0,2
159,toluene,-43.4,-135,ss,ionic,O=CC(F)(F)Br,PHB,FALSE,s,s,CC1=CC=CC=C1,,0.9,0.12,-0.32,1.03,0.59,0.08,0.56,2.2,-121.88,-145.15,-278.93,-11.9,0.048,2.49,-19.81,-34.87,-0.0506,3.47,2.9,0.2261,0.5673,0,0.4275,1.7004,0.6163,0.2486,0.722,0.0408,0.2587,2.2796,0.6163,11,11,0.479166667,-3.326388889,0.414134145,11.16666667,158.929,157.921,157.9178832,36,0,0.355249696,-0.295623938,0.355249696,0.295623938,1.666666667,1.833333333,1.833333333,79.91873765,10.83004574,2.203665901,-1.897193101,2.160093639,-2.035066176,9.097585326,-0.11849214,1.351644115,3.445991214,57.05865003,5.207106781,2.619491979,4.205488518,2.560660172,1.091324105,1.884322374,0.65946368,1.71675179,0.133630621,0.320542106,0,0,0.01,12.16479704,6.01,1.639420779,4.01,41.46433365,0,0,6.286160523,0,0,4.831797192,4.794537184,0,8.780830095,0,0,15.9299439,0,0,13.57536728,22.21610442,0,0,0,4.831797192,0,0,0,0,0,8.780830095,0,15.9299439,11.11795772,4.794537184,0,0,0,0,0,0,17.07,11.11795772,8.780830095,0,0,0,0,0,15.9299439,0,0,4.794537184,22,1.776041667,5.703125,0,0,0,0,-0.479166667,0,0,0.5,6,0,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1.173,19.938,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5,63,0,1.592582406,146.5741468,823.5496646,0,1
160,,-17.2,-53,ls,ROMP,C1=CCCC1,PHB,TRUE,l,s,,,,,,,,,,,7.71989,-44.84943,-41.2,-4.07046,1,0.49,-15.59,-27.33,-0.0394,2.73,3.13,0.3277,0.2685,0,0.0826,2.5605,0.6615,0.3264,0.2325,0,0.086,2.3094,0.6615,2.236111111,2.236111111,1.319444444,1.319444444,0.379082428,20.8,68.119,60.055,68.06260026,28,0,-0.034778563,-0.088527878,0.088527878,0.034778563,1,1.6,1.8,13.90895583,10.3687216,1.843837734,-1.686660676,2.045512308,-1.497146189,4.876292771,0.929351272,1.76049503,2.323850869,38,3.535533906,3.276020882,3.276020882,2.5,2.149829914,2.149829914,1.402308181,1.402308181,0.90824829,0.90824829,0.589255651,0.589255651,-0.26,22.88643539,2.950970464,1.249729566,0.503980131,32.5035853,0,0,0,0,0,0,0,0,0,0,12.15204021,19.26246487,0,0,0,0,0,0,0,19.26246487,0,12.15204021,0,0,0,0,0,0,0,0,0,19.26246487,12.15204021,0,0,0,0,0,0,0,0,0,0,19.26246487,0,0,12.15204021,0,0,0,0,0,0,0,0,8.5,0,0,0.6,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1.7265,22.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,56,0,1.387650717,122.1451224,686.2913872,0,0
161,tetrahydrofuran,-11.5,-35.4,ss,ROMP,OC1CC=CC1,Dynamic Remodeling of Covalent Networks via Ring-Opening Metathesis Polymerization,TRUE,s,s,C1CCOC1,,1.33,-0.04,-0.49,1.02,3.12,0.16,0.47,7.58,-31.08,-85.38,-121.96,-5.5,0.056,1.72,-17.85,-29.73,-0.0399,3.13,0.55,0.5592,0.4522,0.2406,0.4419,3.4125,0.7202,0.4927,0.614,0.3249,0.5473,2.9455,0.7202,8.666666667,8.666666667,0.064814815,-0.064814815,0.428155853,22.83333333,84.118,76.054,84.05751488,34,0,0.060853705,-0.392485133,0.392485133,0.060853705,1.333333333,1.833333333,2,16.26593707,10.29828203,2.014944257,-1.915516895,2.065195872,-1.95274082,4.933489494,0.189407245,1.86382639,2.31955707,58.33869643,4.405777394,3.593477965,3.593477965,2.89384685,2.224525385,2.224525385,1.596632548,1.596632548,0.982984038,0.982984038,0.602841348,0.602841348,-0.3,33.54887502,3.875438596,1.433348184,0.60086879,37.29781905,5.106527395,0,0,0,0,0,0,0,0,0,12.15204021,12.84164325,0,6.103966388,5.106527395,0,0,0,0,18.94560963,0,12.15204021,0,0,0,0,0,0,11.21049378,0,0,12.84164325,12.15204021,0,0,0,20.23,0,0,0,6.103966388,0,12.84164325,0,0,12.15204021,0,5.106527395,0,0,0,8.666666667,0,0,0,5.666666667,0,0,0.6,6,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.6973,24.3808,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.12,75,0,1.534879766,146.5741468,823.5496646,0,0
162,dichloroethane,-14,-43,ss,cationic,C1CCOCOC1,PHB,FALSE,s,s,ClCCCl,,1.82,0.34,-0.51,0.92,0.83,0.06,0.78,10.7,-87.6,-108.6,-196.7,-0.5,0,2.05,-20.58,-35.35,-0.0496,3.61,2.29,0.2384,0.546,0,0.5989,3.117,0.8219,0.2973,0.8146,0.006,0.6294,3.1503,0.8219,4.972222222,4.972222222,0.5,0.5,0.449491698,24,102.133,92.053,102.0680796,42,0,0.146201558,-0.355430163,0.355430163,0.146201558,0.857142857,1.428571429,2,16.65984028,10.34192939,1.941018072,-1.929381676,1.955231841,-1.933898695,4.382429485,-0.031763101,1.902391865,2.041666667,25.69332843,4.949747468,4.352030487,4.352030487,3.5,2.654700538,2.654700538,1.641454492,1.641454492,0.994016936,0.994016936,0.585024986,0.585024986,-0.08,58.9741478,5.064508671,2.992538341,1.899685255,43.42027879,9.473725908,6.792942306,0,0,0,0,0,0,0,0,0,12.84164325,13.21376393,0,9.473725908,0,0,0,0,12.84164325,20.00670624,0,0,0,0,0,0,0,20.00670624,9.473725908,0,12.84164325,0,0,0,0,18.46,0,0,0,0,6.792942306,26.05540717,0,0,0,0,9.473725908,9.944444444,0,0,0,0,0,0,2.305555556,2.25,0,1,7,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,0.7709,26.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,120,0,1.634194876,171.0031713,960.807942,0,0
163,,6.3,19.3,ls,cationic,O=P1(O)OCCCO1,PHB,FALSE,l,s,,,,,,,,,,,-146.59,-174.42,-331.61,-10.6,1,4.41,-52.42,-74.09,-0.0727,9.19,-1.43,0.4372,1.125,0.7636,0.9462,4.5541,0.8621,0.4625,1.0321,0.8456,1.0413,4.0403,0.8621,10.345,10.345,0.327160494,-3.586612654,0.49561913,27.625,138.059,131.003,138.0081953,48,0,0.471679539,-0.302495379,0.471679539,0.302495379,1.375,1.875,2.125,31.20469357,10.50175426,2.231573018,-2.155143267,2.449022135,-2.06341889,7.469742923,0.101584427,1.650309744,2.449592169,112.4518304,6.035533906,4.240492406,5.134919597,3.707106781,2.325072827,3.820517942,1.488556343,2.942065666,0.797537885,1.815263386,0.456013666,1.250189868,0.11,59.4111508,6.233304562,2.150423034,1.560920194,47.03423899,4.893411603,0,0,0,0,7.822697123,9.047494323,4.565048285,0,0,0,6.420821623,0,13.21376393,18.50595421,7.822697123,0,0,0,6.420821623,13.21376393,0,0,0,0,0,0,7.822697123,18.10717553,13.61254261,0,6.420821623,0,0,0,0,55.76,7.822697123,4.565048285,0,0,19.63458555,0,0,0,0,9.047494323,4.893411603,19.05333333,0,8.485555556,0,0,0,0,0.698958333,0.654320988,-3.586612654,1,8,1,4,0,1,1,0,0,0,3,1,5,0,0,1,1,1,0.5237,26.3463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.2,146,0,1.718034424,195.4321958,1098.066219,0,1
