,dH (kcal/mol),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,STERICS_Backbone_Length,PEP_dH_(kcal/mol),RDKIT_FractionCSP3,RDKIT_SPS,SOLUTE_B_ML,SOLUTE_S_GC,RDKIT_MaxPartialCharge,RDKIT_BCUT2D_MRHI,RDKIT_BalabanJ,RDKIT_MinAbsPartialCharge,RDKIT_BCUT2D_LOGPHI,SOLUTE_S_ML,PEP_dHf_0,STERICS_Side_Chain_Ratio,RDKIT_SMR_VSA7,RDKIT_SlogP_VSA6,RDKIT_BCUT2D_MRLOW,RDKIT_FpDensityMorgan1,RDKIT_MinEStateIndex,DIPOLE_mmff94,RDKIT_SlogP_VSA2,RDKIT_HallKierAlpha,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_MaxAbsPartialCharge,RDKIT_AvgIpc,RDKIT_NumSaturatedRings,PEP_dHf_2,RDKIT_ExactMolWt,RDKIT_BCUT2D_MWLOW,PEP_dHf_1,RDKIT_MolWt,RDKIT_SMR_VSA5,RDKIT_MaxEStateIndex,RDKIT_NumAliphaticRings,RDKIT_MinPartialCharge,RDKIT_MinAbsEStateIndex,RDKIT_MaxAbsEStateIndex,RDKIT_VSA_EState1,RDKIT_TPSA,RDKIT_NumValenceElectrons,RDKIT_Chi3v,RDKIT_PEOE_VSA8,RDKIT_Kappa2,RDKIT_qed,SOLUTE_B_GC,RDKIT_Chi1,RDKIT_SlogP_VSA3,RDKIT_BCUT2D_MWHI,SOLUTE_E_GC,RDKIT_VSA_EState2,SOLUTE_V_GC,SOLUTE_V_ML,RDKIT_Chi3n,RDKIT_Chi4v,RDKIT_NumSaturatedHeterocycles,RDKIT_Chi4n,RDKIT_EState_VSA8,RDKIT_Chi2v,RDKIT_VSA_EState8,RDKIT_SMR_VSA1,RDKIT_FpDensityMorgan2,RDKIT_NumAliphaticHeterocycles,RDKIT_NumHAcceptors,RDKIT_SlogP_VSA5,RDKIT_FpDensityMorgan3,RDKIT_VSA_EState4,RDKIT_Chi2n,RDKIT_VSA_EState5,RDKIT_Chi0,SOLUTE_L_ML,RDKIT_Kappa1,SOLUTE_A_ML,RDKIT_PEOE_VSA7,RDKIT_LabuteASA,RDKIT_HeavyAtomCount,RDKIT_HeavyAtomMolWt,STERICS_Volume,RDKIT_RingCount
120,-4.78,l,cationic,C1COCO1,False,False,False,True,False,False,False,False,True,False,7,-6.0,1.0,24.0,0.59,0.543,0.146,4.284,2.083,0.146,1.854,0.629,-72.3,0.0,0.0,0.0,0.069,1.0,0.5,1.65,20.007,-0.08,-1.756,1.934,-1.785,0.353,1.76,1,-177.1,74.037,10.818,-98.8,74.079,0.0,4.722,1,-0.353,0.5,4.722,9.444,18.46,30,0.539,0.0,1.381,0.402,0.59,2.5,9.474,16.699,0.204,0.0,0.54,0.54,0.539,0.295,1,0.295,0.0,0.934,2.056,9.474,1.6,1,2,0.0,1.8,0.0,0.934,0.0,3.536,1.967,3.123,0.001,0.0,30.69,5,68.031,686.291,1
121,-6.692,s,ionic,CCOC(=O)C=O,False,False,False,False,False,True,False,False,False,True,4,-1.11,0.5,7.571,0.704,0.909,0.371,6.198,3.173,0.371,1.676,1.119,-116.09,0.56,0.0,0.0,-0.148,1.857,-0.803,1.29,18.862,-0.86,-1.88,1.914,-2.029,0.46,1.68,0,-244.97,102.032,10.745,-127.77,102.089,6.924,9.822,0,-0.46,0.142,9.822,4.184,43.37,40,0.383,0.0,3.335,0.274,0.641,3.308,14.326,16.535,0.23,19.242,0.762,0.762,0.383,0.176,0,0.176,4.737,0.87,1.902,14.326,2.429,0,3,6.924,2.571,0.0,0.87,-0.803,5.699,3.107,6.14,-0.016,6.924,41.271,7,96.041,960.808,0
122,-8.007,s,ionic,O=CC(Cl)(Cl)Cl,False,False,False,False,False,True,False,False,False,True,4,-23.11,0.5,11.167,0.213,0.711,0.245,6.738,3.446,0.245,2.211,0.904,-41.27,0.5,0.0,0.0,-0.107,1.333,-1.722,2.48,10.079,0.54,-1.928,2.155,-2.004,0.299,1.352,0,-140.13,145.909,10.901,-75.75,147.388,3.793,9.431,0,-0.299,0.234,9.431,-1.722,17.07,36,0.401,0.0,2.009,0.375,0.324,2.561,4.795,35.583,0.42,9.431,0.773,0.773,0.134,0.0,0,0.0,0.0,3.028,0.0,4.795,1.5,0,1,0.0,1.5,0.0,0.659,0.0,5.207,3.216,6.54,0.004,0.0,50.176,6,146.38,823.55,0
123,-6.453,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,7,-6.0,1.0,24.0,0.59,0.543,0.146,4.284,2.083,0.146,1.854,0.629,-72.3,0.0,0.0,0.0,0.069,1.0,0.5,1.63,20.007,-0.08,-1.756,1.934,-1.785,0.353,1.76,1,-177.1,74.037,10.818,-98.8,74.079,0.0,4.722,1,-0.353,0.5,4.722,9.444,18.46,30,0.539,0.0,1.381,0.402,0.59,2.5,9.474,16.699,0.204,0.0,0.54,0.54,0.539,0.295,1,0.295,0.0,0.934,2.056,9.474,1.6,1,2,0.0,1.8,0.0,0.934,0.0,3.536,1.967,3.123,0.001,0.0,30.69,5,68.031,686.291,1
124,-5.497,l,ROP,O=S1(=O)CCCO1,True,False,True,False,False,False,False,False,True,False,7,9.3,1.0,28.0,0.74,0.931,0.267,7.864,2.762,0.267,2.043,1.57,-136.91,0.22,0.0,0.0,0.354,1.429,-3.046,5.44,20.778,-0.09,-1.832,2.164,-1.963,0.27,1.841,1,-272.78,122.004,10.541,-145.17,122.145,6.421,10.208,1,-0.27,0.201,10.208,24.729,43.37,42,2.116,0.0,1.451,0.416,0.842,3.207,14.301,32.24,0.504,0.0,0.762,0.762,0.802,1.442,1,0.481,4.183,3.197,0.377,12.601,2.143,1,3,6.421,2.286,0.0,1.437,0.201,5.328,3.476,5.055,0.021,6.421,42.411,7,116.097,960.808,1
125,-2.892,s,ROP,CC1OCCOC1=O,False,False,True,False,False,False,False,False,False,True,8,1.6,0.8,29.625,0.71,0.82,0.335,5.741,2.393,0.335,1.99,1.537,-134.05,0.2,0.0,0.0,-0.169,1.625,-0.358,3.58,25.287,-0.57,-2.167,2.18,-2.309,0.461,1.768,1,-281.93,116.047,10.38,-149.48,116.116,13.028,10.447,1,-0.461,0.253,10.447,9.542,35.53,46,1.027,0.0,2.132,0.416,0.828,3.805,14.268,16.609,0.367,10.447,0.838,0.838,1.027,0.553,1,0.553,4.737,1.681,2.623,14.268,2.375,1,3,6.924,2.75,0.0,1.681,-0.253,5.983,3.92,5.565,0.017,6.924,47.582,8,108.052,1098.066,1
126,-8.485,s,ionic,CCCC=O,False,False,False,False,False,True,False,False,False,True,4,-9.65,0.75,7.4,0.454,0.554,0.119,5.483,2.402,0.119,1.744,0.652,-49.88,0.43,0.0,0.0,-0.107,1.8,0.708,2.97,6.286,-0.33,-1.68,1.664,-1.642,0.303,1.406,0,-130.43,72.058,10.381,-70.9,72.107,19.765,9.405,0,-0.303,0.708,9.405,0.0,17.07,30,0.407,6.421,3.67,0.444,0.387,2.414,4.795,16.129,0.159,9.405,0.688,0.688,0.407,0.118,0,0.118,0.0,0.955,1.981,4.795,2.4,0,1,19.765,2.4,0.0,0.955,0.0,4.121,2.319,4.67,-0.001,6.421,31.996,5,64.043,686.291,0
127,-11.401,s,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,False,True,4,-18.08,0.111,9.0,0.208,0.721,-0.023,5.602,2.981,0.023,2.08,0.657,27.91,0.64,42.474,36.911,1.583,1.222,1.121,0.17,0.0,-1.04,-1.943,1.857,-1.722,0.096,1.9,0,-0.84,118.078,10.114,-10.67,118.179,6.924,3.825,0,-0.096,1.121,3.825,0.0,0.0,46,1.267,0.0,2.492,0.532,0.235,4.305,0.0,13.913,0.736,0.0,1.096,1.096,1.267,0.723,0,0.723,18.712,2.146,5.835,0.0,1.778,0,0,12.487,2.111,2.341,2.146,0.0,6.69,4.611,6.086,0.002,12.487,55.837,9,108.099,1235.324,1
128,-3.585,s,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,False,True,4,-18.08,0.111,9.0,0.208,0.721,-0.023,5.602,2.981,0.023,2.08,0.657,27.91,0.64,42.474,36.911,1.583,1.222,1.121,0.18,0.0,-1.04,-1.943,1.857,-1.722,0.096,1.9,0,-0.84,118.078,10.114,-10.67,118.179,6.924,3.825,0,-0.096,1.121,3.825,0.0,0.0,46,1.267,0.0,2.492,0.532,0.235,4.305,0.0,13.913,0.736,0.0,1.096,1.096,1.267,0.723,0,0.723,18.712,2.146,5.835,0.0,1.778,0,0,12.487,2.111,2.341,2.146,0.0,6.69,4.611,6.086,0.002,12.487,55.837,9,108.099,1235.324,1
129,-8.604,s,ionic,O=CC(F)(Cl)Br,False,False,False,False,False,True,False,False,False,True,4,-18.01,0.5,19.167,0.209,0.709,0.292,9.103,3.446,0.292,2.201,0.949,-76.92,0.5,0.0,0.0,-0.11,2.0,-2.354,2.5,10.323,0.37,-1.915,2.176,-2.014,0.297,1.352,0,-201.23,173.888,10.873,-106.3,175.384,4.037,11.432,0,-0.297,0.047,11.432,9.078,17.07,36,0.41,0.0,1.888,0.435,0.402,2.561,4.795,79.919,0.397,9.273,0.721,0.721,0.134,0.0,0,0.0,27.531,2.82,0.0,9.185,2.167,0,1,0.0,2.167,0.0,0.659,0.0,5.207,3.094,6.37,0.035,15.93,47.602,6,174.376,823.55,0
130,-7.409,l,vinyl/acrylic,C=C(CC)C(=O)OC,False,False,False,False,False,False,True,False,True,False,4,-23.12,0.5,8.25,0.442,0.518,0.333,5.868,3.643,0.333,1.962,0.551,-86.7,0.6,12.152,12.152,-0.136,1.75,-0.312,2.0,13.079,-0.79,-1.955,2.001,-2.01,0.466,1.844,0,-240.14,114.068,10.237,-130.32,114.144,13.345,10.421,0,-0.466,0.312,10.421,4.364,26.3,46,0.901,5.573,3.243,0.397,0.466,3.719,9.531,16.523,0.191,10.421,0.985,0.985,0.901,0.289,0,0.289,11.316,1.449,5.33,9.531,2.25,0,2,13.345,2.375,0.521,1.449,-0.312,6.569,3.32,7.21,-0.002,6.421,49.149,8,104.064,1098.066,0
131,-1.362,l,ROP,O=C1CCCO1,False,False,True,False,False,False,False,False,True,False,7,-9.4,0.75,21.0,0.577,1.299,0.305,5.703,2.367,0.305,2.007,1.418,-86.97,0.12,0.0,0.0,-0.137,1.667,-0.046,4.15,12.576,-0.53,-1.807,2.078,-1.881,0.466,1.864,1,-209.97,86.037,10.38,-113.6,86.09,12.842,10.021,1,-0.466,0.046,10.021,4.514,26.3,34,0.788,6.421,1.286,0.397,0.624,2.894,9.531,16.538,0.262,10.021,0.638,0.638,0.788,0.475,1,0.475,4.737,1.324,0.638,9.531,2.5,1,2,12.842,2.667,0.0,1.324,-0.046,4.406,3.226,3.653,-0.005,6.421,36.103,6,80.042,823.55,1
132,-2.988,s,cationic,C1OCOCO1,False,False,False,True,False,False,False,False,False,True,8,-6.6,1.0,24.0,0.603,0.579,0.152,4.089,2.0,0.152,1.868,0.805,-111.24,0.0,0.0,0.0,-0.247,0.667,0.375,1.52,20.379,-0.12,-2.102,1.929,-2.136,0.329,1.72,1,-247.75,90.032,11.182,-129.91,90.078,0.0,4.625,1,-0.329,0.375,4.625,13.875,27.69,36,0.5,0.0,2.125,0.416,0.614,3.0,14.211,16.832,0.234,0.0,0.599,0.599,0.5,0.279,1,0.279,14.211,0.966,1.125,14.211,1.0,1,3,0.0,1.167,0.0,0.966,0.0,4.243,2.298,4.05,0.014,0.0,35.804,6,84.03,823.55,1
133,-3.346,s,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,False,True,4,-18.08,0.111,9.0,0.208,0.721,-0.023,5.602,2.981,0.023,2.08,0.657,27.91,0.64,42.474,36.911,1.583,1.222,1.121,0.18,0.0,-1.04,-1.943,1.857,-1.722,0.096,1.9,0,-0.84,118.078,10.114,-10.67,118.179,6.924,3.825,0,-0.096,1.121,3.825,0.0,0.0,46,1.267,0.0,2.492,0.532,0.235,4.305,0.0,13.913,0.736,0.0,1.096,1.096,1.267,0.723,0,0.723,18.712,2.146,5.835,0.0,1.778,0,0,12.487,2.111,2.341,2.146,0.0,6.69,4.611,6.086,0.002,12.487,55.837,9,108.099,1235.324,1
134,-7.051,s,ionic,COC(=O)C=O,False,False,False,False,False,True,False,False,False,True,4,-1.11,0.333,6.833,0.692,0.945,0.371,6.197,3.234,0.371,1.577,1.132,-107.92,0.5,0.0,0.0,-0.146,1.833,-0.838,1.3,19.365,-0.86,-1.794,1.876,-1.985,0.463,1.65,0,-228.63,88.016,10.795,-119.6,88.062,0.0,9.59,0,-0.463,0.111,9.59,3.892,43.37,34,0.297,0.0,2.382,0.243,0.617,2.808,14.326,16.527,0.272,18.852,0.621,0.621,0.297,0.048,0,0.048,4.737,0.641,0.0,14.326,2.333,0,3,0.0,2.333,0.0,0.641,-0.838,4.992,2.816,5.14,-0.002,0.0,34.906,6,84.03,823.55,0
135,-3.92,l,ROP,CCC1CCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-10.6,0.857,27.667,0.612,1.29,0.306,5.696,2.315,0.306,2.151,1.451,-105.32,0.27,0.0,0.0,-0.153,1.778,-0.02,4.07,12.073,-0.53,-2.196,2.17,-2.217,0.462,1.881,1,-228.73,128.084,10.077,-112.81,128.171,38.711,10.61,1,-0.462,0.02,10.61,4.997,26.3,52,1.66,6.421,2.853,0.5,0.374,4.326,9.531,16.544,0.346,10.61,1.061,1.061,1.66,1.065,1,1.065,0.0,2.412,2.045,9.531,2.556,1,2,32.607,3.0,0.0,2.412,-0.02,6.69,4.617,6.588,-0.001,19.262,55.198,9,116.075,1235.324,1
136,-8.724,s,vinyl/acrylic,C=C(C)c1ccc2ccccc2c1,False,False,False,False,False,False,True,False,False,True,4,-18.08,0.077,10.231,0.306,1.068,-0.018,5.853,2.686,0.018,2.189,0.956,44.11,0.73,54.607,49.044,1.619,1.0,1.116,0.18,0.0,-1.56,-2.014,1.946,-1.777,0.096,2.168,0,31.56,168.094,10.036,5.53,168.239,6.924,3.932,0,-0.096,1.116,3.932,0.0,0.0,64,2.242,0.0,3.059,0.606,0.292,6.271,0.0,13.996,1.452,0.0,1.465,1.465,2.242,1.455,0,1.455,49.044,3.342,5.964,0.0,1.692,0,0,12.487,2.385,2.337,3.342,0.0,9.259,6.786,8.057,0.004,29.326,78.518,13,156.143,1784.358,2
137,-4.207,s,ROMP,CC(C)(C)[Si](C)(C)OC1CC=CC1,False,True,False,False,False,False,False,False,False,True,7,-5.5,0.818,19.769,0.65,0.758,0.192,6.737,2.511,0.192,2.38,0.744,-81.23,0.53,12.152,12.152,0.194,1.154,-1.51,1.62,14.421,-0.083,-2.38,2.385,-2.429,0.413,2.355,0,-222.26,198.144,10.249,-135.53,198.382,57.849,6.24,1,-0.413,0.343,6.24,6.24,9.23,76,7.767,0.0,3.58,0.485,0.578,5.828,4.426,28.352,0.694,0.0,1.375,1.375,3.232,2.661,0,1.282,46.017,10.199,11.529,4.426,1.615,0,1,33.613,2.0,0.0,5.443,0.0,10.113,5.101,10.994,0.008,30.974,83.311,13,176.206,1784.358,1
138,-1.506,l,cationic,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,False,False,False,True,False,False,False,False,True,False,10,0.0,1.0,31.5,1.084,1.196,0.314,6.922,2.977,0.314,2.296,1.157,-567.68,0.44,0.0,0.0,0.238,0.375,-2.111,1.17,34.244,0.708,-2.459,2.498,-2.636,0.416,1.666,1,-1100.96,296.075,11.883,-533.28,296.62,52.376,6.16,1,-0.416,2.073,6.16,24.641,36.92,96,17.697,0.0,4.123,0.644,0.957,6.828,16.461,28.531,0.276,0.0,1.285,1.285,1.966,23.559,1,2.451,52.376,20.472,16.58,16.461,0.5,1,4,0.0,0.625,0.0,6.008,0.0,12.828,5.167,14.767,0.077,52.376,103.253,16,272.428,2196.132,1
139,-5.593,s,ROMP,C1=CCCC1,False,True,False,False,False,False,False,False,False,True,7,-4.07,0.6,20.8,0.086,0.268,-0.035,4.876,2.324,0.035,2.046,0.232,7.72,0.0,12.152,12.152,0.929,1.0,1.319,0.48,0.0,-0.26,-1.687,1.844,-1.497,0.089,1.76,0,-41.2,68.063,10.369,-44.849,68.119,19.262,2.236,1,-0.089,1.319,2.236,0.0,0.0,28,0.908,0.0,1.25,0.379,0.083,2.5,0.0,13.909,0.328,0.0,0.662,0.662,0.908,0.589,0,0.589,12.152,1.402,0.0,0.0,1.6,0,0,19.262,1.8,0.0,1.402,0.0,3.536,2.309,2.951,0.0,19.262,32.504,5,60.055,686.291,1
140,-3.752,s,cationic,CCOC(=O)CCCCC1CCSS1,False,False,False,True,False,False,False,False,False,True,7,-1.0,0.9,21.071,0.798,1.183,0.305,8.769,1.903,0.305,2.394,1.291,-114.51,0.56,0.0,0.0,-0.143,1.5,-0.041,3.45,23.579,0.17,-2.057,2.152,-2.039,0.466,2.654,1,-251.52,234.075,10.115,-136.01,234.386,44.278,11.008,1,-0.466,0.041,11.008,4.866,26.3,82,5.196,17.424,7.46,0.4,0.848,6.826,9.531,33.115,0.801,11.008,1.81,1.81,2.19,4.467,1,1.439,0.0,6.167,2.359,9.531,2.357,1,4,39.028,3.0,0.0,3.38,1.258,10.226,8.082,12.241,-0.008,26.186,93.939,14,216.242,1921.616,1
141,-9.082,s,vinyl/acrylic,C=C(C)c1ccc2ccccc2c1,False,False,False,False,False,False,True,False,False,True,4,-18.08,0.077,10.231,0.306,1.068,-0.018,5.853,2.686,0.018,2.189,0.956,44.11,0.73,54.607,49.044,1.619,1.0,1.116,0.17,0.0,-1.56,-2.014,1.946,-1.777,0.096,2.168,0,31.56,168.094,10.036,5.53,168.239,6.924,3.932,0,-0.096,1.116,3.932,0.0,0.0,64,2.242,0.0,3.059,0.606,0.292,6.271,0.0,13.996,1.452,0.0,1.465,1.465,2.242,1.455,0,1.455,49.044,3.342,5.964,0.0,1.692,0,0,12.487,2.385,2.337,3.342,0.0,9.259,6.786,8.057,0.004,29.326,78.518,13,156.143,1784.358,2
142,-4.015,l,ROP,CCCCCCCCCC1CCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-10.6,0.929,20.812,0.644,1.29,0.306,5.696,1.883,0.306,2.193,1.45,-139.62,0.56,0.0,0.0,-0.154,1.125,0.013,4.08,12.073,-0.53,-2.215,2.187,-2.227,0.462,2.28,1,-297.33,226.193,10.014,-147.11,226.36,83.657,11.058,1,-0.462,0.013,11.058,5.292,26.3,94,3.335,6.421,8.602,0.457,0.374,7.826,9.531,16.544,0.346,11.058,2.047,2.047,3.335,2.31,1,2.31,6.924,4.914,2.247,9.531,1.812,1,2,77.553,2.5,0.0,4.914,0.013,11.64,8.203,13.535,0.004,25.683,99.753,16,200.152,2196.132,1
143,-2.175,l,ROP,CC1CC(=O)OCC(C)(C)C1,True,False,True,False,False,False,False,False,True,False,9,-11.5,0.889,30.818,0.596,1.152,0.306,5.694,2.602,0.306,2.299,1.201,-116.34,0.31,0.0,0.0,-0.145,1.545,-0.039,4.02,12.576,-0.53,-2.219,2.276,-2.184,0.465,1.9,1,-252.57,156.115,9.839,-124.73,156.225,33.613,10.959,1,-0.465,0.039,10.959,5.05,26.3,64,2.04,6.421,2.839,0.501,0.638,4.995,9.531,16.534,0.194,10.959,1.342,1.342,2.04,1.694,1,1.694,20.771,4.338,6.967,9.531,2.182,1,2,33.613,2.818,0.172,4.338,0.433,8.483,5.346,8.566,0.032,17.754,67.928,11,140.097,1509.841,1
144,-3.418,l,ROP,CC1CCOC(=O)C1,False,False,True,False,False,False,False,False,True,False,8,-10.6,0.833,29.625,0.601,1.178,0.306,5.697,2.336,0.306,2.129,1.357,-97.67,0.2,0.0,0.0,-0.148,1.75,-0.038,4.09,12.576,-0.53,-2.156,2.148,-2.178,0.466,1.642,1,-233.77,114.068,10.032,-125.5,114.144,19.765,10.451,1,-0.466,0.038,10.451,4.709,26.3,46,1.389,6.421,2.159,0.438,0.449,3.788,9.531,16.534,0.302,10.451,0.92,0.92,1.389,0.819,1,0.819,6.924,2.318,2.695,9.531,2.5,1,2,19.765,2.875,0.0,2.318,0.5,5.983,4.34,5.604,0.023,12.339,48.833,8,104.064,1098.066,1
145,-4.422,l,ROP,CCCC1CCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-10.6,0.875,26.1,0.61,1.29,0.306,5.696,2.25,0.306,2.169,1.448,-110.22,0.33,0.0,0.0,-0.153,1.7,-0.01,4.07,12.073,-0.53,-2.207,2.18,-2.224,0.462,1.881,1,-238.53,142.099,10.053,-117.71,142.198,45.132,10.726,1,-0.462,0.01,10.726,5.088,26.3,58,1.816,6.421,3.593,0.55,0.374,4.826,9.531,16.544,0.346,10.726,1.202,1.202,1.816,1.303,1,1.303,6.924,2.793,2.114,9.531,2.5,1,2,39.028,3.1,0.0,2.793,-0.01,7.397,4.993,7.576,0.005,19.262,61.563,10,128.086,1372.583,1
146,-2.271,l,ROP,O=C1CSCCS1,False,False,True,False,False,False,False,False,True,False,8,8.2,0.75,22.571,0.701,1.103,0.198,8.176,2.25,0.198,2.162,1.305,-40.05,0.11,0.0,0.0,-0.108,1.429,0.344,3.26,22.374,0.37,-2.042,2.066,-2.046,0.286,1.686,1,-87.33,133.986,10.886,-55.48,134.225,0.0,10.405,1,-0.286,0.344,10.405,0.0,17.07,40,2.985,11.506,2.622,0.492,0.725,3.394,4.795,32.173,1.03,10.405,0.906,0.906,0.711,2.338,1,0.412,0.0,3.53,0.0,4.795,2.286,1,3,0.0,2.571,0.0,1.273,2.893,5.113,4.938,5.506,0.022,0.0,51.236,7,128.177,960.808,1
147,-4.063,l,ROP,CCCCC1CCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-10.6,0.889,24.818,0.613,1.29,0.306,5.696,2.172,0.306,2.178,1.459,-115.12,0.38,0.0,0.0,-0.154,1.636,-0.002,4.07,12.073,-0.53,-2.212,2.184,-2.226,0.462,2.011,1,-248.33,156.115,10.038,-122.61,156.225,51.553,10.814,1,-0.462,0.002,10.814,5.149,26.3,64,2.085,6.421,4.369,0.586,0.374,5.326,9.531,16.544,0.346,10.814,1.342,1.342,2.085,1.413,1,1.413,6.924,3.146,2.157,9.531,2.455,1,2,45.449,3.091,0.0,3.146,-0.002,8.104,5.58,8.566,0.004,19.262,67.928,11,140.097,1509.841,1
148,-2.271,l,ROP,CCC1CCC(CC)C(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-10.6,0.889,31.636,0.635,1.039,0.309,5.727,2.41,0.309,2.233,1.274,-116.88,0.38,0.0,0.0,-0.16,1.364,0.019,5.41,12.073,-0.53,-2.259,2.267,-2.296,0.462,2.041,1,-251.85,156.115,9.946,-124.37,156.225,45.635,11.172,1,-0.462,0.019,11.172,5.2,26.3,64,2.401,0.0,3.744,0.572,0.363,5.274,9.531,16.545,0.413,11.172,1.342,1.342,2.401,1.483,1,1.483,6.924,3.15,4.1,9.531,2.091,1,2,39.531,2.545,0.0,3.15,0.198,8.268,5.597,8.566,0.025,25.683,67.928,11,140.097,1509.841,1
149,-4.015,s,ROMP,C1=CCCC1,False,True,False,False,False,False,False,False,False,True,7,-4.07,0.6,20.8,0.086,0.268,-0.035,4.876,2.324,0.035,2.046,0.232,7.72,0.0,12.152,12.152,0.929,1.0,1.319,0.48,0.0,-0.26,-1.687,1.844,-1.497,0.089,1.76,0,-41.2,68.063,10.369,-44.849,68.119,19.262,2.236,1,-0.089,1.319,2.236,0.0,0.0,28,0.908,0.0,1.25,0.379,0.083,2.5,0.0,13.909,0.328,0.0,0.662,0.662,0.908,0.589,0,0.589,12.152,1.402,0.0,0.0,1.6,0,0,19.262,1.8,0.0,1.402,0.0,3.536,2.309,2.951,0.0,19.262,32.504,5,60.055,686.291,1
150,-2.892,s,ionic,CCCC=O,False,False,False,False,False,True,False,False,False,True,4,-9.65,0.75,7.4,0.454,0.554,0.119,5.483,2.402,0.119,1.744,0.652,-49.88,0.43,0.0,0.0,-0.107,1.8,0.708,2.97,6.286,-0.33,-1.68,1.664,-1.642,0.303,1.406,0,-130.43,72.058,10.381,-70.9,72.107,19.765,9.405,0,-0.303,0.708,9.405,0.0,17.07,30,0.407,6.421,3.67,0.444,0.387,2.414,4.795,16.129,0.159,9.405,0.688,0.688,0.407,0.118,0,0.118,0.0,0.955,1.981,4.795,2.4,0,1,19.765,2.4,0.0,0.955,0.0,4.121,2.319,4.67,-0.001,6.421,31.996,5,64.043,686.291,0
151,-3.585,s,cationic,C1CCOCOC1,False,False,False,True,False,False,False,False,False,True,9,-0.5,1.0,24.0,0.629,0.546,0.146,4.382,2.042,0.146,1.955,0.815,-87.6,0.0,0.0,0.0,-0.032,0.857,0.5,2.11,20.007,-0.08,-1.929,1.941,-1.934,0.355,1.902,1,-196.7,102.068,10.342,-108.6,102.133,12.842,4.972,1,-0.355,0.5,4.972,9.944,18.46,42,0.994,13.214,2.993,0.449,0.599,3.5,9.474,16.66,0.238,0.0,0.822,0.822,0.994,0.585,1,0.585,0.0,1.641,2.25,9.474,1.429,1,2,12.842,2.0,0.0,1.641,0.0,4.95,3.15,5.065,0.006,12.842,43.42,7,92.053,960.808,1
152,-8.246,l,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,True,False,4,-18.08,0.111,9.0,0.208,0.721,-0.023,5.602,2.981,0.023,2.08,0.657,27.91,0.64,42.474,36.911,1.583,1.222,1.121,0.18,0.0,-1.04,-1.943,1.857,-1.722,0.096,1.9,0,-0.84,118.078,10.114,-10.67,118.179,6.924,3.825,0,-0.096,1.121,3.825,0.0,0.0,46,1.267,0.0,2.492,0.532,0.235,4.305,0.0,13.913,0.736,0.0,1.096,1.096,1.267,0.723,0,0.723,18.712,2.146,5.835,0.0,1.778,0,0,12.487,2.111,2.341,2.146,0.0,6.69,4.611,6.086,0.002,12.487,55.837,9,108.099,1235.324,1
153,-13.432,s,ionic,O=CC(F)(Cl)Cl,False,False,False,False,False,True,False,False,False,True,4,-27.72,0.5,11.167,0.232,0.569,0.313,6.537,3.446,0.297,2.17,0.777,-88.85,0.5,0.0,0.0,-0.111,1.667,-2.694,2.5,10.873,0.18,-1.909,2.184,-2.025,0.313,1.352,0,-244.51,129.939,10.859,-127.94,130.933,4.587,11.281,0,-0.297,0.198,11.281,8.586,17.07,36,0.312,0.0,1.756,0.387,0.35,2.561,4.795,35.539,0.249,9.188,0.668,0.668,0.134,0.0,0,0.0,23.202,1.953,0.0,9.185,1.833,0,1,0.0,1.833,0.0,0.659,0.0,5.207,2.731,6.18,0.034,0.0,44.038,6,129.925,823.55,0
155,-4.469,l,ROP,CCCCCCCC1CCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-10.6,0.917,22.071,0.624,1.29,0.306,5.696,1.973,0.306,2.19,1.453,-129.82,0.5,0.0,0.0,-0.154,1.286,0.009,4.08,12.073,-0.53,-2.215,2.187,-2.227,0.462,2.176,1,-277.73,198.162,10.019,-137.31,198.306,70.815,10.986,1,-0.462,0.009,10.986,5.254,26.3,82,2.835,6.421,6.855,0.482,0.374,6.826,9.531,16.544,0.346,10.986,1.765,1.765,2.835,1.957,1,1.957,6.924,4.207,2.225,9.531,2.071,1,2,64.711,2.786,0.0,4.207,0.009,10.226,7.11,11.544,0.005,25.683,87.023,14,176.13,1921.616,1
