,Tc (C),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,RDKIT_MolWt,PEP_dHf_1,MIX_dSsolv298(kJ/mol/K),PEP_dH_(kcal/mol),RDKIT_NumValenceElectrons,RDKIT_Kappa2,SOLUTE_L_ML,RDKIT_SlogP_VSA6,SOLUTE_E_ML,RDKIT_LabuteASA,PEP_dHf_0,RDKIT_EState_VSA8,RDKIT_FpDensityMorgan3,SOLUTE_V_ML,MIX_logK,SOLUTE_B_ML,RDKIT_VSA_EState4,RDKIT_NumSaturatedRings,STERICS_Wiener_Index,SOLUTE_B_GC,RDKIT_SPS,RDKIT_MaxEStateIndex,SOLUTE_S_ML,RDKIT_VSA_EState2,RDKIT_BCUT2D_CHGHI,RDKIT_MaxPartialCharge,SOLUTE_E_GC,RDKIT_Chi1n,RDKIT_MinEStateIndex,RDKIT_HeavyAtomMolWt,RDKIT_SMR_VSA7,RDKIT_PEOE_VSA14,SOLUTE_L_GC,RDKIT_SlogP_VSA2,RDKIT_VSA_EState1,PEP_dHf_2,RDKIT_PEOE_VSA1,RDKIT_RingCount,RDKIT_MinPartialCharge,RDKIT_Chi4v,RDKIT_Chi0v,STERICS_VDW_Volume,RDKIT_Chi0,RDKIT_SMR_VSA1,RDKIT_FpDensityMorgan2,RDKIT_NumAliphaticRings,RDKIT_NumSaturatedHeterocycles,RDKIT_SlogP_VSA5,RDKIT_Chi1v,RDKIT_ExactMolWt,RDKIT_Kappa3,RDKIT_NumAliphaticHeterocycles,RDKIT_PEOE_VSA7,RDKIT_SMR_VSA5,RDKIT_Chi2n,RDKIT_fr_lactone,RDKIT_VSA_EState7,RDKIT_BCUT2D_CHGLO,STERICS_Side_Chain_Ratio,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_BCUT2D_MRHI,MIX_logP,TANIMOTO,RDKIT_VSA_EState8,RDKIT_Chi3n,RDKIT_MaxAbsEStateIndex,RDKIT_fr_ether,RDKIT_Chi1,DIPOLE_mmff94,STERICS_Backbone_Length,RDKIT_NumHAcceptors,SOLUTE_V_GC,RDKIT_qed,STERICS_Volume,RDKIT_Chi2v,RDKIT_MinAbsEStateIndex,RDKIT_TPSA,MIX_dHsolv298(kJ/mol),RDKIT_HeavyAtomCount,SOLUTE_A_ML,RDKIT_AvgIpc,RDKIT_BCUT2D_MRLOW,RDKIT_FractionCSP3,RDKIT_VSA_EState5,RDKIT_BCUT2D_MWHI,RDKIT_Kappa1,RDKIT_BCUT2D_LOGPHI,RDKIT_NOCount,RDKIT_PEOE_VSA8,MIX_dGsolv298(kJ/mol),RDKIT_BCUT2D_LOGPLOW,RDKIT_FpDensityMorgan1,RDKIT_SlogP_VSA3,RDKIT_BalabanJ,RDKIT_HallKierAlpha,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_BCUT2D_MWLOW,SOLUTE_S_GC,RDKIT_Chi0n
105,-16.428,s,ROMP,C1=CCC(OCc2ccccc2)C1,True,True,False,False,False,False,False,False,False,True,174.243,-60.77,-0.052,-5.5,68,4.24,6.408,42.484,0.943,79.039,-6.47,24.285,2.462,1.469,2.96,0.516,1.259,0,426,0.721,16.615,5.726,0.926,0.0,2.091,0.072,0.968,4.755,0.417,160.131,48.047,0.0,6.889,6.104,5.726,-72.74,4.737,2,-0.373,1.517,7.648,317.577,8.933,4.737,1.769,1,0,18.405,4.755,174.104,2.427,0,18.405,25.552,3.361,0,6.95,-2.1,0.53,2.293,1.517,5.131,0.39,0.033,0.743,2.293,5.726,1,6.449,1.72,7,1,1.469,0.64,1784.358,3.361,0.417,9.23,-32.51,13,0.004,2.689,0.05,0.333,0.0,16.486,8.515,2.148,1,0.0,-16.9,-2.069,1.077,11.344,1.795,-1.08,0.373,0.072,10.208,0.779,7.648
106,-16.187,s,ROMP,C1=CCC(COCc2ccccc2)C1,False,True,False,False,False,False,False,False,False,True,188.27,-62.92,-0.048,-5.5,74,4.965,6.975,42.484,0.97,85.404,-8.62,36.418,2.5,1.61,2.64,0.545,1.262,0,531,0.61,16.286,5.664,0.91,0.0,2.09,0.072,0.937,5.216,0.721,172.142,48.047,0.0,6.983,6.607,5.664,-77.04,4.737,2,-0.376,1.727,8.355,342.006,9.64,4.737,1.786,1,0,18.405,5.216,188.12,2.708,0,24.323,19.449,3.81,0,6.872,-2.091,0.56,2.571,1.727,5.129,1.67,0.036,1.638,2.571,5.664,1,6.949,1.74,7,1,1.61,0.659,1921.616,3.81,0.721,9.23,-29.5,14,0.004,2.724,0.091,0.385,0.721,16.474,9.474,2.177,1,0.0,-15.07,-2.051,1.071,11.344,1.679,-1.08,0.376,0.072,10.107,0.946,8.355
107,-15.45,s,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,False,True,118.179,-10.67,-0.054,-18.08,46,2.492,4.611,36.911,0.87,55.837,27.91,18.712,2.111,1.096,2.94,0.208,2.341,0,150,0.235,9.0,3.825,0.657,0.0,1.857,-0.023,0.736,3.014,1.121,108.099,42.474,0.0,4.717,0.0,0.0,-0.84,0.0,1,-0.096,0.723,5.594,219.861,6.69,0.0,1.778,0,0,12.487,3.014,118.078,1.425,0,12.487,6.924,2.146,0,0.0,-1.943,0.64,1.267,0.723,5.602,0.37,0.0,5.835,1.267,3.825,0,4.305,0.18,4,0,1.096,0.532,1235.324,2.146,1.121,0.0,-32.82,9,0.002,1.9,1.583,0.111,0.0,13.913,6.086,2.08,0,0.0,-16.77,-1.722,1.222,0.0,2.981,-1.04,0.096,0.023,10.114,0.721,5.594
108,-15.17,s,ROMP,O=C(OCc1ccccc1)C1CC=CC1,False,True,False,False,False,False,False,False,False,True,202.253,-110.13,-0.054,-5.5,78,4.781,7.104,42.484,0.958,89.566,-55.83,0.0,2.533,1.626,2.95,0.682,1.039,0,596,0.67,15.467,11.556,1.067,11.556,2.198,0.309,0.954,5.216,-0.08,188.141,48.047,5.969,7.482,5.969,5.233,-171.46,4.737,2,-0.461,1.656,8.557,366.435,10.51,9.531,1.867,1,0,18.405,5.216,202.099,2.688,0,18.405,19.449,3.733,0,5.726,-2.089,0.59,2.565,1.656,5.729,0.38,0.029,0.385,2.565,11.556,1,7.36,1.87,7,2,1.626,0.556,2058.874,3.733,0.05,26.3,-32.9,15,0.006,2.807,-0.149,0.308,-0.03,16.534,9.965,2.191,2,0.0,-16.83,-2.142,1.2,16.138,1.806,-1.57,0.461,0.309,10.094,1.372,8.557
109,-8.782,s,cationic,C1CCOC1,False,False,False,True,False,False,False,False,False,True,72.107,-69.32,-0.038,-5.9,30,1.41,2.592,0.0,0.295,31.942,-42.92,0.0,1.8,0.622,2.63,0.469,0.0,1,56,0.364,24.0,4.944,0.562,0.0,1.943,0.047,0.181,2.077,1.0,64.043,0.0,0.0,2.188,13.214,4.944,-118.14,4.737,1,-0.381,0.51,3.237,122.145,3.536,4.737,1.6,1,1,12.842,2.077,72.058,0.618,1,12.842,12.842,1.319,0,2.556,-1.764,0.0,0.827,0.51,4.432,1.37,0.0,2.0,0.827,4.944,1,2.5,1.77,7,1,0.622,0.411,686.291,1.319,1.0,9.23,-26.34,5,0.002,1.76,0.198,1.0,0.0,16.478,3.162,1.978,1,13.214,-15.01,-1.743,1.0,4.737,2.083,-0.04,0.381,0.047,10.394,0.344,3.237
110,-7.525,l,cyclic,CC1CCCC1,False,False,False,False,True,False,False,False,True,False,84.162,-51.47,-0.044,-6.648,36,1.633,2.846,0.0,0.216,39.558,-25.382,6.924,1.833,0.845,3.08,-0.009,0.0,1,76,0.0,25.5,2.34,0.089,0.0,2.067,-0.044,0.209,2.894,1.046,72.066,0.0,0.0,2.87,0.0,0.0,-83.5,0.0,1,-0.063,1.13,4.406,146.574,4.406,0.0,1.667,1,0,32.607,2.894,84.094,0.735,0,5.918,32.607,2.39,0,5.947,-1.909,0.12,1.644,1.13,4.602,4.28,1.0,2.34,1.644,2.34,0,2.894,0.14,7,0,0.845,0.422,823.55,2.39,1.046,0.0,-30.81,6,-0.0,1.864,0.612,1.0,1.046,14.129,4.167,2.224,0,0.0,-17.57,-1.781,1.167,0.0,2.184,0.0,0.063,0.044,10.151,0.2,4.406
111,-6.884,s,ROMP,CC[Si](CC)(CC)OC1C=CCC1,False,True,False,False,False,False,False,False,False,True,198.382,-153.71,-0.059,-5.5,76,4.963,5.101,12.152,0.56,83.311,-98.87,32.923,2.231,1.375,3.63,0.65,0.0,0,392,0.578,22.538,6.299,0.744,0.0,2.311,0.192,0.694,5.605,-1.334,176.206,12.152,0.0,5.758,14.421,6.299,-258.08,4.426,1,-0.411,4.863,10.176,317.577,9.734,4.426,1.846,1,0,33.613,8.135,198.144,2.679,0,30.974,57.849,3.905,0,7.39,-2.305,0.53,7.972,2.024,6.732,3.05,0.061,6.869,3.303,6.299,0,6.26,1.66,7,1,1.375,0.483,1784.358,8.629,0.45,9.23,-38.21,13,0.008,2.668,0.232,0.818,0.0,28.352,10.994,2.264,1,0.0,-20.7,-2.384,1.231,4.426,2.497,-0.083,0.411,0.192,10.315,0.758,9.176
112,-6.564,s,ROMP,C1=CCC(c2ccccc2)C1,False,True,False,False,False,False,False,False,False,True,144.217,-18.89,-0.054,-5.5,56,2.913,5.402,42.484,0.949,67.561,35.41,42.484,2.182,1.269,3.72,0.257,1.484,0,260,0.359,17.455,2.275,0.749,0.0,2.104,-0.009,0.936,4.166,0.76,132.121,48.047,0.0,5.917,0.0,0.0,11.02,0.0,2,-0.088,1.615,6.533,268.719,7.519,0.0,1.545,1,0,24.323,4.166,144.094,1.346,0,24.323,18.76,3.05,0,7.003,-2.072,0.46,2.279,1.615,5.226,3.15,0.273,0.0,2.279,2.275,0,5.466,0.37,7,0,1.269,0.531,1509.841,3.05,0.76,0.0,-37.37,11,0.002,2.579,0.754,0.273,0.76,14.152,6.657,2.279,0,0.0,-21.23,-1.901,0.909,0.0,2.173,-1.04,0.088,0.009,9.973,0.765,6.533
113,1.49,s,ionic,O=CC(Cl)(Cl)Cl,False,False,False,False,False,True,False,False,False,True,147.388,-75.75,-0.04,-23.11,36,2.009,3.216,0.0,0.44,50.176,-41.27,0.0,1.5,0.773,2.94,0.213,0.0,0,63,0.324,11.167,9.431,0.904,9.431,2.155,0.245,0.42,1.091,-1.722,146.38,0.0,0.0,2.805,10.079,-1.722,-140.13,0.0,0,-0.299,0.0,4.887,146.574,5.207,4.795,1.5,0,0,0.0,2.225,145.909,4.54,0,0.0,3.793,0.659,0,0.234,-1.928,0.5,0.401,0.0,6.738,4.89,0.0,0.0,0.134,9.431,0,2.561,2.49,4,1,0.773,0.375,823.55,3.028,0.234,17.07,-28.67,6,0.004,1.352,-0.107,0.5,0.0,35.583,6.54,2.211,1,0.0,-16.77,-2.004,1.333,4.795,3.446,0.54,0.299,0.245,10.901,0.711,2.619
114,3.773,l,ROP,O=C1CC2CCCCC2O1,False,False,True,False,False,False,False,False,True,False,140.182,-126.7,-0.088,-9.4,56,2.257,4.562,0.0,0.467,60.557,-102.82,0.0,2.9,1.093,7.09,0.588,0.0,2,201,0.459,39.0,10.787,0.966,10.787,2.354,0.306,0.598,4.056,0.025,128.086,0.0,5.969,5.367,12.073,5.126,-238.92,4.737,2,-0.462,1.993,6.007,244.29,6.975,9.531,2.1,2,1,32.104,4.056,140.084,0.917,1,19.262,38.208,3.277,0,5.824,-2.213,0.42,2.551,1.993,5.716,1.8,1.0,0.0,2.551,10.787,1,4.86,4.11,7,2,1.093,0.476,1372.583,3.277,0.025,26.3,-66.67,10,-0.001,2.272,-0.141,0.875,0.596,16.55,6.198,2.338,2,5.918,-40.46,-2.193,1.3,9.531,2.037,-0.53,0.462,0.306,9.863,1.508,6.007
115,4.628,s,ROP,O=C1OCC2CCCCC12,False,False,True,False,False,False,False,False,False,True,140.182,-106.02,-0.053,-9.4,56,2.257,5.307,0.0,0.558,60.557,-99.73,0.0,2.9,1.093,3.52,0.595,0.0,2,197,0.437,39.0,10.986,1.518,10.986,2.373,0.309,0.58,4.044,0.06,128.086,0.0,5.969,5.352,12.576,4.961,-215.15,4.737,2,-0.465,2.014,6.007,244.29,6.975,9.531,2.1,2,1,25.683,4.044,140.084,0.825,1,12.842,25.683,3.281,1,4.786,-2.192,0.42,2.651,2.014,5.743,2.94,0.032,0.698,2.651,10.986,1,4.877,4.16,7,2,1.093,0.475,1372.583,3.281,0.06,26.3,-35.87,10,0.014,2.341,-0.141,0.875,0.902,16.54,6.198,2.346,2,5.918,-20.07,-2.191,1.3,9.531,2.081,-0.53,0.465,0.309,9.815,1.393,6.007
116,5.443,s,vinyl/acrylic,C=Cc1ccc(C(C)(C)C)cc1,False,False,False,False,False,False,True,False,False,True,160.26,-29.76,-0.051,-19.2,64,3.139,5.904,30.844,0.862,74.931,9.94,51.616,1.917,1.519,3.7,0.273,2.802,0,316,0.278,11.25,3.723,0.614,0.0,2.115,-0.013,0.841,4.268,0.25,144.132,41.971,0.0,5.865,0.0,0.0,-39.02,0.0,1,-0.098,1.119,8.094,293.148,9.19,0.0,1.583,0,0,31.898,4.268,160.125,1.974,0,16.542,26.186,4.076,0,1.868,-2.182,0.71,2.012,1.119,5.473,3.13,0.16,10.377,2.012,3.723,0,5.537,0.29,4,0,1.519,0.588,1647.099,4.076,0.25,0.0,-36.27,12,0.006,2.031,0.59,0.333,0.0,14.163,9.051,2.216,0,0.0,-21.14,-2.098,1.083,5.415,2.999,-1.04,0.098,0.013,9.866,0.634,8.094
117,5.736,s,ionic,O=CC(Cl)(Cl)Cl,False,False,False,False,False,True,False,False,False,True,147.388,-75.75,-0.05,-23.11,36,2.009,3.216,0.0,0.44,50.176,-41.27,0.0,1.5,0.773,3.21,0.213,0.0,0,63,0.324,11.167,9.431,0.904,9.431,2.155,0.245,0.42,1.091,-1.722,146.38,0.0,0.0,2.805,10.079,-1.722,-140.13,0.0,0,-0.299,0.0,4.887,146.574,5.207,4.795,1.5,0,0,0.0,2.225,145.909,4.54,0,0.0,3.793,0.659,0,0.234,-1.928,0.5,0.401,0.0,6.738,0.64,0.0,0.0,0.134,9.431,0,2.561,2.51,4,1,0.773,0.375,823.55,3.028,0.234,17.07,-33.33,6,0.004,1.352,-0.107,0.5,0.0,35.583,6.54,2.211,1,0.0,-18.32,-2.004,1.333,4.795,3.446,0.54,0.299,0.245,10.901,0.711,2.619
118,5.742,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,74.079,-98.8,-0.07,-6.0,30,1.381,1.967,0.0,0.296,30.69,-72.3,0.0,1.8,0.54,5.32,0.59,0.0,1,56,0.59,24.0,4.722,0.629,0.0,1.934,0.146,0.204,1.655,0.5,68.031,0.0,0.0,1.984,20.007,9.444,-177.1,9.474,1,-0.353,0.295,2.938,122.145,3.536,9.474,1.6,1,1,0.0,1.655,74.037,0.597,1,0.0,0.0,0.934,0,0.0,-1.756,0.0,0.539,0.295,4.284,0.42,0.083,2.056,0.539,4.722,2,2.5,1.69,7,2,0.54,0.402,686.291,0.934,0.5,18.46,-51.37,5,0.001,1.76,0.069,1.0,0.0,16.699,3.123,1.854,2,0.0,-30.35,-1.785,1.0,9.474,2.083,-0.08,0.353,0.146,10.818,0.543,2.938
119,8.901,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,74.079,-98.8,-0.05,-6.0,30,1.381,1.967,0.0,0.296,30.69,-72.3,0.0,1.8,0.54,3.21,0.59,0.0,1,56,0.59,24.0,4.722,0.629,0.0,1.934,0.146,0.204,1.655,0.5,68.031,0.0,0.0,1.984,20.007,9.444,-177.1,9.474,1,-0.353,0.295,2.938,122.145,3.536,9.474,1.6,1,1,0.0,1.655,74.037,0.597,1,0.0,0.0,0.934,0,0.0,-1.756,0.0,0.539,0.295,4.284,2.23,0.0,2.056,0.539,4.722,2,2.5,1.67,7,2,0.54,0.402,686.291,0.934,0.5,18.46,-33.05,5,0.001,1.76,0.069,1.0,0.0,16.699,3.123,1.854,2,0.0,-18.3,-1.785,1.0,9.474,2.083,-0.08,0.353,0.146,10.818,0.543,2.938
120,8.922,l,cationic,C1COCO1,False,False,False,True,False,False,False,False,True,False,74.079,-98.8,-0.057,-6.0,30,1.381,1.967,0.0,0.296,30.69,-72.3,0.0,1.8,0.54,3.27,0.59,0.0,1,56,0.59,24.0,4.722,0.629,0.0,1.934,0.146,0.204,1.655,0.5,68.031,0.0,0.0,1.984,20.007,9.444,-177.1,9.474,1,-0.353,0.295,2.938,122.145,3.536,9.474,1.6,1,1,0.0,1.655,74.037,0.597,1,0.0,0.0,0.934,0,0.0,-1.756,0.0,0.539,0.295,4.284,0.25,1.0,2.056,0.539,4.722,2,2.5,1.65,7,2,0.54,0.402,686.291,0.934,0.5,18.46,-35.6,5,0.001,1.76,0.069,1.0,0.0,16.699,3.123,1.854,2,0.0,-18.65,-1.785,1.0,9.474,2.083,-0.08,0.353,0.146,10.818,0.543,2.938
121,12.552,s,ionic,CCOC(=O)C=O,False,False,False,False,False,True,False,False,False,True,102.089,-127.77,-0.042,-1.11,40,3.335,3.107,0.0,0.269,41.271,-116.09,4.737,2.571,0.762,2.85,0.704,0.0,0,92,0.641,7.571,9.822,1.119,19.242,1.914,0.371,0.23,1.928,-0.803,96.041,0.0,5.969,3.03,18.862,4.184,-244.97,4.737,0,-0.46,0.176,4.009,171.003,5.699,14.326,2.429,0,0,6.924,1.928,102.032,2.957,0,6.924,6.924,0.87,0,0.142,-1.88,0.56,0.383,0.176,6.198,1.87,0.05,1.902,0.383,9.822,1,3.308,1.29,4,3,0.762,0.274,960.808,0.87,0.142,43.37,-28.72,7,-0.016,1.68,-0.148,0.5,-0.803,16.535,6.14,1.676,3,0.0,-16.24,-2.029,1.857,14.326,3.173,-0.86,0.46,0.371,10.745,0.909,4.009
122,13.182,s,ionic,O=CC(Cl)(Cl)Cl,False,False,False,False,False,True,False,False,False,True,147.388,-75.75,-0.053,-23.11,36,2.009,3.216,0.0,0.44,50.176,-41.27,0.0,1.5,0.773,4.06,0.213,0.0,0,63,0.324,11.167,9.431,0.904,9.431,2.155,0.245,0.42,1.091,-1.722,146.38,0.0,0.0,2.805,10.079,-1.722,-140.13,0.0,0,-0.299,0.0,4.887,146.574,5.207,4.795,1.5,0,0,0.0,2.225,145.909,4.54,0,0.0,3.793,0.659,0,0.234,-1.928,0.5,0.401,0.0,6.738,0.6,0.0,0.0,0.134,9.431,0,2.561,2.48,4,1,0.773,0.375,823.55,3.028,0.234,17.07,-38.95,6,0.004,1.352,-0.107,0.5,0.0,35.583,6.54,2.211,1,0.0,-23.18,-2.004,1.333,4.795,3.446,0.54,0.299,0.245,10.901,0.711,2.619
123,14.071,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,74.079,-98.8,-0.037,-6.0,30,1.381,1.967,0.0,0.296,30.69,-72.3,0.0,1.8,0.54,2.33,0.59,0.0,1,56,0.59,24.0,4.722,0.629,0.0,1.934,0.146,0.204,1.655,0.5,68.031,0.0,0.0,1.984,20.007,9.444,-177.1,9.474,1,-0.353,0.295,2.938,122.145,3.536,9.474,1.6,1,1,0.0,1.655,74.037,0.597,1,0.0,0.0,0.934,0,0.0,-1.756,0.0,0.539,0.295,4.284,1.92,0.0,2.056,0.539,4.722,2,2.5,1.63,7,2,0.54,0.402,686.291,0.934,0.5,18.46,-24.31,5,0.001,1.76,0.069,1.0,0.0,16.699,3.123,1.854,2,0.0,-13.27,-1.785,1.0,9.474,2.083,-0.08,0.353,0.146,10.818,0.543,2.938
124,14.696,l,ROP,O=S1(=O)CCCO1,True,False,True,False,False,False,False,False,True,False,122.145,-145.17,-0.087,9.3,42,1.451,3.476,0.0,0.456,42.411,-136.91,4.183,2.286,0.762,7.48,0.74,0.0,1,104,0.842,28.0,10.208,1.57,0.0,2.164,0.267,0.504,2.077,-3.046,116.097,0.0,0.0,3.952,20.778,24.729,-272.78,0.0,1,-0.27,1.442,4.571,171.003,5.328,12.601,2.143,1,1,6.421,3.655,122.004,1.138,1,6.421,6.421,1.437,0,0.655,-1.832,0.22,2.116,0.481,7.864,1.36,1.0,0.377,0.802,10.208,0,3.207,5.44,7,3,0.762,0.416,960.808,3.197,0.201,43.37,-68.67,7,0.021,1.841,0.354,1.0,0.201,32.24,5.055,2.043,3,0.0,-42.66,-1.963,1.429,14.301,2.762,-0.09,0.27,0.267,10.541,0.931,3.754
125,14.955,s,ROP,CC1OCCOC1=O,False,False,True,False,False,False,False,False,False,True,116.116,-149.48,-0.05,1.6,46,2.132,3.92,0.0,0.406,47.582,-134.05,4.737,2.75,0.838,3.55,0.71,0.0,1,143,0.828,29.625,10.447,1.537,10.447,2.18,0.335,0.367,2.587,-0.358,108.052,0.0,5.969,3.472,25.287,9.542,-281.93,9.474,1,-0.461,0.553,4.716,195.432,5.983,14.268,2.375,1,1,6.924,2.587,116.047,0.98,1,6.924,13.028,1.681,1,-0.358,-2.167,0.2,1.027,0.553,5.741,2.98,0.071,2.623,1.027,10.447,2,3.805,3.58,8,3,0.838,0.416,1098.066,1.681,0.253,35.53,-35.15,8,0.017,1.768,-0.169,0.8,-0.253,16.609,5.565,1.99,3,0.0,-20.25,-2.309,1.625,14.268,2.393,-0.57,0.461,0.335,10.38,0.82,4.716
126,17.841,s,ionic,CCCC=O,False,False,False,False,False,True,False,False,False,True,72.107,-70.9,-0.036,-9.65,30,3.67,2.319,0.0,0.19,31.996,-49.88,0.0,2.4,0.688,2.54,0.454,0.0,0,50,0.387,7.4,9.405,0.652,9.405,1.664,0.119,0.159,1.851,0.708,64.043,0.0,0.0,2.346,6.286,0.0,-130.43,4.795,0,-0.303,0.118,3.4,122.145,4.121,4.795,2.4,0,0,19.765,1.851,72.058,3.67,0,6.421,19.765,0.955,0,2.615,-1.68,0.43,0.407,0.118,5.483,4.36,0.267,1.981,0.407,9.405,0,2.414,2.97,4,1,0.688,0.444,686.291,0.955,0.708,17.07,-25.24,5,-0.001,1.406,-0.107,0.75,0.0,16.129,4.67,1.744,1,6.421,-14.5,-1.642,1.8,4.795,2.402,-0.33,0.303,0.119,10.381,0.554,3.4
127,18.959,s,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,False,True,118.179,-10.67,-0.039,-18.08,46,2.492,4.611,36.911,0.87,55.837,27.91,18.712,2.111,1.096,2.95,0.208,2.341,0,150,0.235,9.0,3.825,0.657,0.0,1.857,-0.023,0.736,3.014,1.121,108.099,42.474,0.0,4.717,0.0,0.0,-0.84,0.0,1,-0.096,0.723,5.594,219.861,6.69,0.0,1.778,0,0,12.487,3.014,118.078,1.425,0,12.487,6.924,2.146,0,0.0,-1.943,0.64,1.267,0.723,5.602,3.86,0.0,5.835,1.267,3.825,0,4.305,0.17,4,0,1.096,0.532,1235.324,2.146,1.121,0.0,-28.38,9,0.002,1.9,1.583,0.111,0.0,13.913,6.086,2.08,0,0.0,-16.84,-1.722,1.222,0.0,2.981,-1.04,0.096,0.023,10.114,0.721,5.594
128,20.968,s,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,False,True,118.179,-10.67,-0.039,-18.08,46,2.492,4.611,36.911,0.87,55.837,27.91,18.712,2.111,1.096,3.21,0.208,2.341,0,150,0.235,9.0,3.825,0.657,0.0,1.857,-0.023,0.736,3.014,1.121,108.099,42.474,0.0,4.717,0.0,0.0,-0.84,0.0,1,-0.096,0.723,5.594,219.861,6.69,0.0,1.778,0,0,12.487,3.014,118.078,1.425,0,12.487,6.924,2.146,0,0.0,-1.943,0.64,1.267,0.723,5.602,5.16,0.043,5.835,1.267,3.825,0,4.305,0.18,4,0,1.096,0.532,1235.324,2.146,1.121,0.0,-29.89,9,0.002,1.9,1.583,0.111,0.0,13.913,6.086,2.08,0,0.0,-18.3,-1.722,1.222,0.0,2.981,-1.04,0.096,0.023,10.114,0.721,5.594
129,21.922,s,ionic,O=CC(F)(Cl)Br,False,False,False,False,False,True,False,False,False,True,175.384,-106.3,-0.049,-18.01,36,1.888,3.094,0.0,0.459,47.602,-76.92,27.531,2.167,0.721,3.65,0.209,0.0,0,63,0.402,19.167,11.432,0.949,9.273,2.176,0.292,0.397,1.091,-2.354,174.376,0.0,0.0,2.448,10.323,9.078,-201.23,0.0,0,-0.297,0.0,4.961,146.574,5.207,9.185,2.167,0,0,0.0,2.262,173.888,4.37,0,15.93,4.037,0.659,0,-0.047,-1.915,0.5,0.41,0.0,9.103,3.07,0.043,0.0,0.134,11.432,0,2.561,2.5,4,1,0.721,0.435,823.55,2.82,0.047,17.07,-35.44,6,0.035,1.352,-0.11,0.5,0.0,79.919,6.37,2.201,1,0.0,-20.81,-2.014,2.0,4.795,3.446,0.37,0.297,0.292,10.873,0.709,2.619
130,22.076,l,vinyl/acrylic,C=C(CC)C(=O)OC,False,False,False,False,False,False,True,False,True,False,114.144,-130.32,-0.063,-23.12,46,3.243,3.32,12.152,0.258,49.149,-86.7,11.316,2.375,0.985,4.0,0.442,0.521,0,117,0.466,8.25,10.421,0.551,10.421,2.001,0.333,0.191,2.481,-0.312,104.064,12.152,5.969,3.253,13.079,4.364,-240.14,4.737,0,-0.466,0.289,5.231,195.432,6.569,9.531,2.25,0,0,13.345,2.481,114.068,1.776,0,6.421,13.345,1.449,0,0.659,-1.955,0.6,0.901,0.289,5.868,1.99,1.0,5.33,0.901,10.421,1,3.719,2.0,4,2,0.985,0.397,1098.066,1.449,0.312,26.3,-41.53,8,-0.002,1.844,-0.136,0.5,-0.312,16.523,7.21,1.962,2,5.573,-22.84,-2.01,1.75,9.531,3.643,-0.79,0.466,0.333,10.237,0.518,5.231
131,22.103,l,ROP,O=C1CCCO1,False,False,True,False,False,False,False,False,True,False,86.09,-113.6,-0.057,-9.4,34,1.286,3.226,0.0,0.396,36.103,-86.97,4.737,2.667,0.638,5.75,0.577,0.0,1,79,0.624,21.0,10.021,1.418,10.021,2.078,0.305,0.262,2.05,-0.046,80.042,0.0,5.969,3.164,12.576,4.514,-209.97,4.737,1,-0.466,0.475,3.438,146.574,4.406,9.531,2.5,1,1,12.842,2.05,86.037,0.506,1,6.421,12.842,1.324,1,1.541,-1.807,0.12,0.788,0.475,5.703,0.57,1.0,0.638,0.788,10.021,1,2.894,4.15,7,2,0.638,0.397,823.55,1.324,0.046,26.3,-49.65,6,-0.005,1.864,-0.137,0.75,-0.046,16.538,3.653,2.007,2,6.421,-32.78,-1.881,1.667,9.531,2.367,-0.53,0.466,0.305,10.38,1.299,3.438
132,24.519,s,cationic,C1OCOCO1,False,False,False,True,False,False,False,False,False,True,90.078,-129.91,-0.075,-6.6,36,2.125,2.298,0.0,0.242,35.804,-111.24,14.211,1.167,0.599,5.92,0.603,0.0,1,84,0.614,24.0,4.625,0.805,0.0,1.929,0.152,0.234,1.732,0.375,84.03,0.0,0.0,1.89,20.379,13.875,-247.75,14.211,1,-0.329,0.279,3.346,146.574,4.243,14.211,1.0,1,1,0.0,1.732,90.032,0.931,1,0.0,0.0,0.966,0,0.0,-2.102,0.0,0.5,0.279,4.089,2.81,0.0,1.125,0.5,4.625,3,3.0,1.52,8,3,0.599,0.416,823.55,0.966,0.375,27.69,-56.16,6,0.014,1.72,-0.247,1.0,0.0,16.832,4.05,1.868,3,0.0,-33.77,-2.136,0.667,14.211,2.0,-0.12,0.329,0.152,11.182,0.579,3.346
