,dS (cal/mol/K),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,STERICS_Backbone_Length,MIX_dGsolv298(kJ/mol),MIX_logK,SOLUTE_B_ML,SOLUTE_S_ML,RDKIT_SPS,PEP_dH_(kcal/mol),MIX_dHsolv298(kJ/mol),RDKIT_NumAliphaticRings,RDKIT_FractionCSP3,RDKIT_BCUT2D_LOGPLOW,SOLUTE_B_GC,SOLUTE_S_GC,MIX_dSsolv298(kJ/mol/K),STERICS_Side_Chain_Ratio,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_CHGHI,SOLUTE_E_GC,RDKIT_RingCount,MIX_logP,RDKIT_BalabanJ,RDKIT_Kappa3,RDKIT_MaxEStateIndex,RDKIT_MaxAbsEStateIndex,STERICS_Volume,RDKIT_VSA_EState1,TANIMOTO,RDKIT_MinPartialCharge,RDKIT_BCUT2D_CHGLO,RDKIT_MinEStateIndex,RDKIT_MaxAbsPartialCharge,DIPOLE_mmff94,SOLUTE_L_ML,SOLUTE_L_GC,RDKIT_HeavyAtomCount,RDKIT_NumAliphaticHeterocycles,RDKIT_VSA_EState2,STERICS_Wiener_Index,RDKIT_Chi1,RDKIT_PEOE_VSA7,RDKIT_fr_lactone,STERICS_VDW_Volume,RDKIT_Chi1v,RDKIT_BCUT2D_MRHI,RDKIT_Chi1n,RDKIT_Chi4v,RDKIT_SlogP_VSA2,RDKIT_EState_VSA8,PEP_dHf_2,RDKIT_NumSaturatedRings,PEP_dHf_0,RDKIT_Chi3v,RDKIT_SlogP_VSA3,RDKIT_PEOE_VSA14,RDKIT_NumHAcceptors,RDKIT_MinAbsEStateIndex,RDKIT_HallKierAlpha,RDKIT_Chi2n,PEP_dHf_1,RDKIT_Chi3n,RDKIT_NumValenceElectrons,RDKIT_AvgIpc,RDKIT_fr_ether,RDKIT_Chi0n,RDKIT_TPSA,RDKIT_NumSaturatedHeterocycles,RDKIT_qed,RDKIT_Chi0,RDKIT_NOCount,RDKIT_VSA_EState7,RDKIT_Chi2v,SOLUTE_E_ML,RDKIT_Chi4n,RDKIT_Chi0v,RDKIT_SMR_VSA5,RDKIT_PEOE_VSA1,RDKIT_LabuteASA,RDKIT_MaxPartialCharge,RDKIT_Kappa2,SOLUTE_V_GC
85,-17.686,s,ionic,CC(Cl)(Cl)C=O,False,False,False,False,False,True,False,False,False,True,4,-18.23,3.2,0.313,0.862,11.167,-16.0,-33.43,0,0.667,-2.051,0.409,0.782,-0.051,0.5,1.833,2.116,0.386,0,0.62,3.446,4.25,9.562,9.562,823.55,-1.194,0.0,-0.3,-1.963,-1.194,0.3,2.91,3.103,2.82,6,0,9.562,63,2.561,6.924,0,146.574,2.158,6.548,1.402,0.0,10.62,0.0,-154.83,0,-55.73,0.385,4.795,0.0,1,0.468,0.25,1.074,-83.1,0.207,36,1.352,0,3.242,17.07,0,0.384,5.207,1,0.468,2.838,0.388,0.0,4.753,11.257,4.795,46.237,0.17,1.804,0.792
86,-27.964,l,ionic,CCCCCC=O,False,False,False,False,False,True,False,False,True,False,4,-23.36,4.1,0.445,0.652,8.714,-9.65,-40.03,0,0.833,-1.734,0.387,0.554,-0.056,0.56,2.571,1.796,0.159,0,2.06,2.559,5.67,9.68,9.68,960.808,0.0,1.0,-0.303,-1.853,0.744,0.303,2.97,3.372,3.332,7,0,9.68,110,3.414,6.421,0,171.003,2.851,5.484,2.851,0.478,6.286,6.924,-150.03,0,-59.68,0.926,4.795,0.0,1,0.744,-0.33,1.662,-80.7,0.926,42,1.691,0,4.814,17.07,0,0.388,5.536,1,5.191,1.662,0.156,0.478,4.814,32.607,4.795,44.725,0.119,5.67,0.97
87,-22.467,s,ionic,CC(C)C=O,False,False,False,False,False,True,False,False,False,True,4,-12.48,2.19,0.458,0.615,8.6,-9.99,-22.08,0,0.75,-1.821,0.391,0.521,-0.032,0.43,1.8,1.792,0.161,0,3.83,2.826,3.67,9.505,9.505,686.291,0.0,0.067,-0.303,-1.784,0.204,0.303,2.97,2.201,2.183,5,0,9.505,46,2.27,0.0,0,122.145,1.724,5.513,1.724,0.0,6.286,0.0,-134.63,0,-51.64,0.272,4.795,0.0,1,0.204,-0.33,1.38,-73.0,0.272,30,1.379,0,3.563,17.07,0,0.419,4.284,1,0.917,1.38,0.151,0.0,3.563,13.847,4.795,31.996,0.122,1.942,0.688
88,-8.891,s,cationic,CC1OCCCCO1,False,False,False,True,False,False,False,False,False,True,9,-19.78,3.47,0.667,0.733,25.125,-0.5,-34.42,1,1.0,-2.091,0.587,0.528,-0.049,0.1,2.125,2.041,0.231,1,2.15,2.166,1.801,5.181,5.181,1098.066,10.361,0.0,-0.353,-2.065,0.025,0.353,2.04,3.562,3.673,8,1,0.0,158,3.894,19.765,0,195.432,3.126,4.437,3.126,0.751,19.504,0.0,-208.47,1,-98.05,1.244,9.474,0.0,2,0.025,-0.08,2.016,-109.92,1.244,48,1.941,2,5.222,18.46,1,0.473,5.82,2,2.312,2.016,0.238,0.751,5.222,26.055,9.474,49.785,0.154,3.048,0.963
89,-14.866,s,ROMP,COC(=O)C1CC=CC1,False,True,False,False,False,False,False,False,False,True,7,-17.82,3.12,0.519,0.788,18.333,-5.5,-31.37,1,0.571,-2.115,0.506,0.966,-0.046,0.36,2.556,2.182,0.385,1,0.55,2.361,1.313,10.752,10.752,1235.324,4.555,0.038,-0.469,-2.032,-0.083,0.469,1.79,3.946,4.438,9,0,10.752,170,4.343,12.842,0,219.861,3.071,5.727,3.071,0.976,13.079,4.737,-211.32,0,-75.76,1.542,9.531,5.969,2,0.083,-0.79,2.163,-130.06,1.542,50,2.366,1,5.463,26.3,0,0.389,6.69,2,5.739,2.163,0.4,0.976,5.463,12.842,4.737,54.509,0.309,2.667,1.018
90,-9.273,s,cationic,CC1CCCOCO1,False,False,False,True,False,False,False,False,False,True,9,-19.81,3.47,0.656,0.701,31.875,-0.5,-34.34,1,1.0,-2.049,0.524,0.65,-0.049,0.1,3.25,2.045,0.281,1,2.16,2.166,1.801,5.181,5.181,1098.066,10.223,0.0,-0.355,-2.041,0.4,0.355,2.23,3.546,3.618,8,1,0.0,158,3.894,19.765,0,195.432,3.087,4.504,3.087,0.779,19.504,6.924,-216.2,1,-97.35,1.335,9.474,0.0,2,0.4,-0.08,2.146,-118.35,1.335,48,1.941,2,5.222,18.46,1,0.473,5.82,2,2.679,2.146,0.281,0.779,5.222,25.869,9.474,49.785,0.147,3.048,0.963
91,-18.141,s,ROMP,OCC1CC=CC1,False,True,False,False,False,False,False,False,False,True,7,-17.96,3.15,0.521,0.683,21.286,-5.5,-29.7,1,0.667,-1.976,0.453,0.665,-0.039,0.22,2.286,2.058,0.522,1,0.57,2.217,1.031,8.526,8.526,960.808,0.0,0.048,-0.396,-1.989,0.354,0.396,1.73,3.468,3.857,7,0,0.0,102,3.432,18.76,0,171.003,2.691,4.93,2.691,0.823,11.713,12.152,-126.26,0,-33.23,1.364,0.0,0.0,1,0.354,-0.3,1.991,-87.53,1.364,40,2.139,0,4.301,20.23,0,0.484,5.113,1,6.411,1.991,0.489,0.823,4.301,12.842,5.107,43.663,0.046,2.124,0.861
92,-2.796,l,cationic,COP1(=O)OCCCO1,False,False,False,True,False,False,False,False,True,False,8,-38.63,6.77,1.038,1.201,25.889,-10.6,-59.62,1,1.0,-2.081,0.933,1.233,-0.07,0.27,2.333,2.269,0.318,1,-0.51,2.469,1.762,10.935,10.935,1235.324,24.876,1.0,-0.29,-2.191,-3.094,0.474,3.1,4.29,4.81,9,1,0.0,188,4.268,6.421,0,219.861,4.176,7.48,2.716,1.545,20.324,4.524,-331.61,1,-146.59,2.456,18.136,7.823,4,0.463,0.11,1.65,-174.42,1.011,54,1.902,0,5.202,44.76,1,0.529,6.743,4,0.785,3.426,0.331,0.554,6.096,6.421,0.0,53.718,0.474,2.796,1.003
93,-4.302,s,cyclic,CN1[Si](C)(C)O[Si](C)(C)O[Si]1(C)C,False,False,False,False,True,False,False,False,False,True,10,-20.3,3.56,1.084,1.157,31.615,0.0,-40.01,1,1.0,-2.73,0.957,1.196,-0.066,0.44,1.385,2.522,0.276,1,2.98,2.956,2.309,6.125,6.125,2196.132,14.651,0.042,-0.425,-2.529,-1.821,0.425,1.43,5.167,5.713,13,1,0.0,621,5.569,46.33,0,390.864,13.238,6.959,4.711,19.279,36.798,50.561,-1100.96,1,-567.68,16.998,8.23,8.561,3,1.633,0.531,5.056,-533.28,2.607,78,1.773,0,9.764,21.7,1,0.6,10.492,3,0.0,17.065,0.309,2.009,12.764,39.282,12.461,84.706,0.312,3.009,1.285
94,-19.12,l,ionic,O=CC(Cl)(Cl)Cl,False,False,False,False,False,True,False,False,True,False,4,-20.98,3.68,0.213,0.904,11.167,-23.11,-35.29,0,0.5,-2.004,0.324,0.711,-0.048,0.5,1.5,2.155,0.42,0,1.79,3.446,4.54,9.431,9.431,823.55,-1.722,1.0,-0.299,-1.928,-1.722,0.299,2.51,3.216,2.805,6,0,9.431,63,2.561,0.0,0,146.574,2.225,6.738,1.091,0.0,10.079,0.0,-140.13,0,-41.27,0.401,4.795,0.0,1,0.234,0.54,0.659,-75.75,0.134,36,1.352,0,2.619,17.07,0,0.375,5.207,1,0.234,3.028,0.44,0.0,4.887,3.793,0.0,50.176,0.245,2.009,0.773
95,-12.715,l,cationic,CC1COCO1,False,False,False,True,False,False,False,False,True,False,7,-20.2,3.54,0.632,0.606,34.5,-6.0,-37.19,1,1.0,-1.997,0.516,0.647,-0.057,0.12,2.667,2.07,0.246,1,0.47,2.184,0.698,4.931,4.931,823.55,9.765,1.0,-0.353,-1.903,0.324,0.353,1.65,2.396,2.486,6,1,0.0,79,2.894,6.924,0,146.574,2.087,4.475,2.087,0.426,19.504,0.0,-196.6,1,-82.05,0.788,9.474,0.0,2,0.324,-0.08,1.466,-108.55,0.788,36,1.864,2,3.808,18.46,1,0.426,4.406,2,0.324,1.466,0.249,0.426,3.808,13.028,9.474,37.055,0.147,1.579,0.681
96,-23.494,s,ROP,O=C1OCC2CC3CCC12O3,True,False,True,False,False,False,False,False,False,True,7,-16.33,2.86,0.696,1.534,52.909,-3.5,-28.14,3,0.875,-2.363,0.68,1.316,-0.04,0.46,3.182,2.626,0.619,3,1.89,2.059,0.527,11.288,11.288,1509.841,10.598,0.0,-0.463,-2.182,-0.481,0.463,5.41,5.204,5.852,11,3,11.288,223,5.311,19.262,1,268.719,4.162,5.826,4.162,2.583,24.281,0.0,-260.57,3,-128.34,3.183,14.268,5.969,3,0.109,-0.57,3.699,-128.73,3.183,60,2.616,2,6.208,35.53,3,0.476,7.475,3,3.325,3.699,0.63,2.583,6.208,30.967,9.474,64.665,0.338,1.606,1.043
98,-13.313,l,ROP,O=C1SC2CCC1C2,False,False,True,False,False,False,False,False,True,False,7,-36.72,6.44,0.506,1.089,43.75,-0.0,-57.83,2,0.833,-2.025,0.515,0.809,-0.071,0.3,2.625,2.384,0.646,2,2.64,2.217,0.524,10.799,10.799,1098.066,0.0,1.0,-0.287,-2.036,0.459,0.287,4.09,4.678,3.74,8,1,10.799,121,3.86,19.262,0,195.432,3.945,8.142,3.066,2.839,10.365,0.0,-96.09,2,-42.82,3.328,4.795,0.0,2,0.459,0.02,2.569,-53.27,2.001,44,2.226,0,4.593,17.07,1,0.491,5.56,1,3.654,3.874,0.881,1.522,5.409,24.512,0.0,52.837,0.192,1.501,0.916
99,-11.95,s,ROMP,C[Si](C)(C)OC1C=CCC1,False,True,False,False,False,False,False,False,False,True,7,-20.98,3.68,0.65,0.744,25.7,-5.5,-37.47,1,0.75,-2.295,0.578,0.758,-0.055,0.42,2.5,2.198,0.694,1,3.1,2.315,2.667,5.851,5.851,1372.583,5.851,0.069,-0.411,-2.211,-1.273,0.411,1.69,5.101,5.758,10,0,0.0,221,4.578,32.483,0,244.29,7.331,6.693,3.923,2.262,14.421,31.793,-240.74,0,-90.2,2.483,4.426,0.0,1,0.437,-0.083,3.774,-145.04,1.474,58,2.118,0,7.055,9.23,0,0.441,7.613,1,7.245,8.235,0.56,1.157,8.055,38.587,4.426,64.216,0.184,2.886,1.375
100,-14.101,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,7,-19.59,3.43,0.59,0.629,24.0,-6.0,-34.89,1,1.0,-1.785,0.59,0.543,-0.051,0.0,1.8,1.934,0.204,1,2.79,2.083,0.597,4.722,4.722,686.291,9.444,0.0,-0.353,-1.756,0.5,0.353,1.73,1.967,1.984,5,1,0.0,56,2.5,0.0,0,122.145,1.655,4.284,1.655,0.295,20.007,0.0,-177.1,1,-72.3,0.539,9.474,0.0,2,0.5,-0.08,0.934,-98.8,0.539,30,1.76,2,2.938,18.46,1,0.402,3.536,2,0.0,0.934,0.296,0.295,2.938,0.0,9.474,30.69,0.146,1.381,0.54
101,-13.815,l,ionic,CCCCCCCC=O,False,False,False,False,False,True,False,False,True,False,4,-28.22,4.95,0.453,0.656,9.444,-9.65,-49.19,0,0.875,-1.776,0.387,0.554,-0.07,0.64,2.333,1.854,0.159,0,3.2,2.664,7.67,9.838,9.838,1235.324,0.0,1.0,-0.303,-1.93,0.754,0.303,2.97,4.418,4.317,9,0,9.838,206,4.414,6.421,0,219.861,3.851,5.484,3.851,0.831,6.286,6.924,-169.63,0,-69.48,1.426,4.795,0.0,1,0.754,-0.33,2.37,-90.5,1.426,54,1.885,0,6.228,17.07,0,0.397,6.95,1,7.968,2.37,0.144,0.831,6.228,45.449,4.795,57.455,0.119,7.67,1.252
102,-27.247,s,ionic,O=CC(F)(Br)Br,False,False,False,False,False,True,False,False,False,True,4,-20.57,3.6,0.235,1.058,11.167,-17.87,-35.31,0,0.5,-2.004,0.455,0.849,-0.05,0.5,1.833,2.168,0.545,0,3.03,3.446,4.56,11.583,11.583,823.55,9.569,0.048,-0.298,-1.922,-2.014,0.298,2.47,3.361,2.837,6,0,9.358,63,2.561,31.86,0,146.574,2.677,9.253,1.091,0.0,9.773,31.86,-176.07,0,-64.48,0.507,4.795,0.0,1,0.104,0.56,0.659,-93.72,0.134,36,1.352,0,2.619,17.07,0,0.484,5.207,1,0.104,4.032,0.55,0.0,5.791,3.487,0.0,51.166,0.273,2.023,0.774
103,-9.536,l,ROP,CC1SCCSC1=O,True,False,True,False,False,False,False,False,True,False,8,-36.35,6.37,0.677,1.161,30.625,8.2,-58.06,1,0.8,-2.154,0.619,0.879,-0.073,0.2,2.75,2.172,0.943,1,1.93,2.393,1.421,10.736,10.736,1098.066,0.0,1.0,-0.286,-2.132,0.244,0.286,3.2,5.283,4.233,8,1,10.736,143,3.805,6.924,0,195.432,4.622,8.179,2.587,2.605,21.871,0.0,-104.75,1,-50.81,3.635,4.795,0.0,3,0.244,0.37,1.681,-62.14,1.027,46,1.768,0,4.716,17.07,1,0.516,5.983,1,0.0,4.228,1.074,0.553,6.349,12.174,0.0,57.601,0.201,2.781,1.047
104,-29.159,s,ionic,O=CC(Cl)(Cl)Br,False,False,False,False,False,True,False,False,False,True,4,-21.0,3.68,0.226,0.977,11.167,-16.24,-35.74,0,0.5,-1.993,0.377,0.851,-0.05,0.5,1.833,2.147,0.568,0,3.11,3.446,4.73,9.516,9.516,823.55,-1.382,0.048,-0.299,-1.935,-1.382,0.299,2.45,3.436,3.195,6,0,9.516,63,2.561,15.93,0,146.574,2.64,9.109,1.091,0.0,9.529,15.93,-108.35,0,-32.25,0.499,4.795,0.0,1,0.385,0.73,0.659,-59.86,0.134,36,1.352,0,2.619,17.07,0,0.456,5.207,1,0.385,4.209,0.576,0.0,5.717,3.243,0.0,53.74,0.226,2.145,0.826
105,-14.245,s,ROMP,C1=CCC(OCc2ccccc2)C1,True,True,False,False,False,False,False,False,False,True,7,-16.9,2.96,0.516,0.926,16.615,-5.5,-32.51,1,0.333,-2.069,0.721,0.779,-0.052,0.53,2.462,2.091,0.968,2,0.39,1.795,2.427,5.726,5.726,1784.358,5.726,0.033,-0.373,-2.1,0.417,0.373,1.72,6.408,6.889,13,0,0.0,426,6.449,18.405,0,317.577,4.755,5.131,4.755,1.517,6.104,24.285,-72.74,0,-6.47,2.293,11.344,0.0,1,0.417,-1.08,3.361,-60.77,2.293,68,2.689,1,7.648,9.23,0,0.64,8.933,1,6.95,3.361,0.943,1.517,7.648,25.552,4.737,79.039,0.072,4.24,1.469
106,-16.372,s,ROMP,C1=CCC(COCc2ccccc2)C1,False,True,False,False,False,False,False,False,False,True,7,-15.07,2.64,0.545,0.91,16.286,-5.5,-29.5,1,0.385,-2.051,0.61,0.946,-0.048,0.56,2.5,2.09,0.937,2,1.67,1.679,2.708,5.664,5.664,1921.616,5.664,0.036,-0.376,-2.091,0.721,0.376,1.74,6.975,6.983,14,0,0.0,531,6.949,24.323,0,342.006,5.216,5.129,5.216,1.727,6.607,36.418,-77.04,0,-8.62,2.571,11.344,0.0,1,0.721,-1.08,3.81,-62.92,2.571,74,2.724,1,8.355,9.23,0,0.659,9.64,1,6.872,3.81,0.97,1.727,8.355,19.449,4.737,85.404,0.072,4.965,1.61
107,-31.071,s,vinyl/acrylic,C=C(C)c1ccccc1,False,False,False,False,False,False,True,False,False,True,4,-16.77,2.94,0.208,0.657,9.0,-18.08,-32.82,0,0.111,-1.722,0.235,0.721,-0.054,0.64,2.111,1.857,0.736,1,0.37,2.981,1.425,3.825,3.825,1235.324,0.0,0.0,-0.096,-1.943,1.121,0.096,0.18,4.611,4.717,9,0,0.0,150,4.305,12.487,0,219.861,3.014,5.602,3.014,0.723,0.0,18.712,-0.84,0,27.91,1.267,0.0,0.0,0,1.121,-1.04,2.146,-10.67,1.267,46,1.9,0,5.594,0.0,0,0.532,6.69,0,0.0,2.146,0.87,0.723,5.594,6.924,0.0,55.837,-0.023,2.492,1.096
108,-19.455,s,ROMP,O=C(OCc1ccccc1)C1CC=CC1,False,True,False,False,False,False,False,False,False,True,7,-16.83,2.95,0.682,1.067,15.467,-5.5,-32.9,1,0.308,-2.142,0.67,1.372,-0.054,0.59,2.533,2.198,0.954,2,0.38,1.806,2.688,11.556,11.556,2058.874,5.233,0.029,-0.461,-2.089,-0.08,0.461,1.87,7.104,7.482,15,0,11.556,596,7.36,18.405,0,366.435,5.216,5.729,5.216,1.656,5.969,0.0,-171.46,0,-55.83,2.565,16.138,5.969,2,0.05,-1.57,3.733,-110.13,2.565,78,2.807,1,8.557,26.3,0,0.556,10.51,2,5.726,3.733,0.958,1.656,8.557,19.449,4.737,89.566,0.309,4.781,1.626
109,-20.793,s,cationic,C1CCOC1,False,False,False,True,False,False,False,False,False,True,7,-15.01,2.63,0.469,0.562,24.0,-5.9,-26.34,1,1.0,-1.743,0.364,0.344,-0.038,0.0,1.8,1.943,0.181,1,1.37,2.083,0.618,4.944,4.944,686.291,4.944,0.0,-0.381,-1.764,1.0,0.381,1.77,2.592,2.188,5,1,0.0,56,2.5,12.842,0,122.145,2.077,4.432,2.077,0.51,13.214,0.0,-118.14,1,-42.92,0.827,4.737,0.0,1,1.0,-0.04,1.319,-69.32,0.827,30,1.76,1,3.237,9.23,1,0.411,3.536,1,2.556,1.319,0.295,0.51,3.237,12.842,4.737,31.942,0.047,1.41,0.622
110,-15.296,l,cyclic,CC1CCCC1,False,False,False,False,True,False,False,False,True,False,7,-17.57,3.08,-0.009,0.089,25.5,-6.648,-30.81,1,1.0,-1.781,0.0,0.2,-0.044,0.12,1.833,2.067,0.209,1,4.28,2.184,0.735,2.34,2.34,823.55,0.0,1.0,-0.063,-1.909,1.046,0.063,0.14,2.846,2.87,6,0,0.0,76,2.894,5.918,0,146.574,2.894,4.602,2.894,1.13,0.0,6.924,-83.5,1,-25.382,1.644,0.0,0.0,0,1.046,0.0,2.39,-51.47,1.644,36,1.864,0,4.406,0.0,0,0.422,4.406,0,5.947,2.39,0.216,1.13,4.406,32.607,0.0,39.558,-0.044,1.633,0.845
111,-19.12,s,ROMP,CC[Si](CC)(CC)OC1C=CCC1,False,True,False,False,False,False,False,False,False,True,7,-20.7,3.63,0.65,0.744,22.538,-5.5,-38.21,1,0.818,-2.384,0.578,0.758,-0.059,0.53,2.231,2.311,0.694,1,3.05,2.497,2.679,6.299,6.299,1784.358,6.299,0.061,-0.411,-2.305,-1.334,0.411,1.66,5.101,5.758,13,0,0.0,392,6.26,30.974,0,317.577,8.135,6.732,5.605,4.863,14.421,32.923,-258.08,0,-98.87,7.972,4.426,0.0,1,0.45,-0.083,3.905,-153.71,3.303,76,2.668,0,9.176,9.23,0,0.483,9.734,1,7.39,8.629,0.56,2.024,10.176,57.849,4.426,83.311,0.192,4.963,1.375
112,-19.097,s,ROMP,C1=CCC(c2ccccc2)C1,False,True,False,False,False,False,False,False,False,True,7,-21.23,3.72,0.257,0.749,17.455,-5.5,-37.37,1,0.273,-1.901,0.359,0.765,-0.054,0.46,2.182,2.104,0.936,2,3.15,2.173,1.346,2.275,2.275,1509.841,0.0,0.273,-0.088,-2.072,0.76,0.088,0.37,5.402,5.917,11,0,0.0,260,5.466,24.323,0,268.719,4.166,5.226,4.166,1.615,0.0,42.484,11.02,0,35.41,2.279,0.0,0.0,0,0.76,-1.04,3.05,-18.89,2.279,56,2.579,0,6.533,0.0,0,0.531,7.519,0,7.003,3.05,0.949,1.615,6.533,18.76,0.0,67.561,-0.009,2.913,1.269
113,-33.939,s,ionic,O=CC(Cl)(Cl)Cl,False,False,False,False,False,True,False,False,False,True,4,-16.77,2.94,0.213,0.904,11.167,-23.11,-28.67,0,0.5,-2.004,0.324,0.711,-0.04,0.5,1.5,2.155,0.42,0,4.89,3.446,4.54,9.431,9.431,823.55,-1.722,0.0,-0.299,-1.928,-1.722,0.299,2.49,3.216,2.805,6,0,9.431,63,2.561,0.0,0,146.574,2.225,6.738,1.091,0.0,10.079,0.0,-140.13,0,-41.27,0.401,4.795,0.0,1,0.234,0.54,0.659,-75.75,0.134,36,1.352,0,2.619,17.07,0,0.375,5.207,1,0.234,3.028,0.44,0.0,4.887,3.793,0.0,50.176,0.245,2.009,0.773
114,-15.535,l,ROP,O=C1CC2CCCCC2O1,False,False,True,False,False,False,False,False,True,False,7,-40.46,7.09,0.588,0.966,39.0,-9.4,-66.67,2,0.875,-2.193,0.459,1.508,-0.088,0.42,2.9,2.354,0.598,2,1.8,2.037,0.917,10.787,10.787,1372.583,5.126,1.0,-0.462,-2.213,0.025,0.462,4.11,4.562,5.367,10,1,10.787,201,4.86,19.262,0,244.29,4.056,5.716,4.056,1.993,12.073,0.0,-238.92,2,-102.82,2.551,9.531,5.969,2,0.025,-0.53,3.277,-126.7,2.551,56,2.272,1,6.007,26.3,1,0.476,6.975,2,5.824,3.277,0.467,1.993,6.007,38.208,4.737,60.557,0.306,2.257,1.093
115,-17.208,s,ROP,O=C1OCC2CCCCC12,False,False,True,False,False,False,False,False,False,True,7,-20.07,3.52,0.595,1.518,39.0,-9.4,-35.87,2,0.875,-2.191,0.437,1.393,-0.053,0.42,2.9,2.373,0.58,2,2.94,2.081,0.825,10.986,10.986,1372.583,4.961,0.032,-0.465,-2.192,0.06,0.465,4.16,5.307,5.352,10,1,10.986,197,4.877,12.842,1,244.29,4.044,5.743,4.044,2.014,12.576,0.0,-215.15,2,-99.73,2.651,9.531,5.969,2,0.06,-0.53,3.281,-106.02,2.651,56,2.341,1,6.007,26.3,1,0.475,6.975,2,4.786,3.281,0.558,2.014,6.007,25.683,4.737,60.557,0.309,2.257,1.093
116,-25.478,s,vinyl/acrylic,C=Cc1ccc(C(C)(C)C)cc1,False,False,False,False,False,False,True,False,False,True,4,-21.14,3.7,0.273,0.614,11.25,-19.2,-36.27,0,0.333,-2.098,0.278,0.634,-0.051,0.71,1.917,2.115,0.841,1,3.13,2.999,1.974,3.723,3.723,1647.099,0.0,0.16,-0.098,-2.182,0.25,0.098,0.29,5.904,5.865,12,0,0.0,316,5.537,16.542,0,293.148,4.268,5.473,4.268,1.119,0.0,51.616,-39.02,0,9.94,2.012,5.415,0.0,0,0.25,-1.04,4.076,-29.76,2.012,64,2.031,0,8.094,0.0,0,0.588,9.19,0,1.868,4.076,0.862,1.119,8.094,26.186,0.0,74.931,-0.013,3.139,1.519
117,-12.428,s,ionic,O=CC(Cl)(Cl)Cl,False,False,False,False,False,True,False,False,False,True,4,-18.32,3.21,0.213,0.904,11.167,-23.11,-33.33,0,0.5,-2.004,0.324,0.711,-0.05,0.5,1.5,2.155,0.42,0,0.64,3.446,4.54,9.431,9.431,823.55,-1.722,0.0,-0.299,-1.928,-1.722,0.299,2.51,3.216,2.805,6,0,9.431,63,2.561,0.0,0,146.574,2.225,6.738,1.091,0.0,10.079,0.0,-140.13,0,-41.27,0.401,4.795,0.0,1,0.234,0.54,0.659,-75.75,0.134,36,1.352,0,2.619,17.07,0,0.375,5.207,1,0.234,3.028,0.44,0.0,4.887,3.793,0.0,50.176,0.245,2.009,0.773
118,-18.595,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,7,-30.35,5.32,0.59,0.629,24.0,-6.0,-51.37,1,1.0,-1.785,0.59,0.543,-0.07,0.0,1.8,1.934,0.204,1,0.42,2.083,0.597,4.722,4.722,686.291,9.444,0.083,-0.353,-1.756,0.5,0.353,1.69,1.967,1.984,5,1,0.0,56,2.5,0.0,0,122.145,1.655,4.284,1.655,0.295,20.007,0.0,-177.1,1,-72.3,0.539,9.474,0.0,2,0.5,-0.08,0.934,-98.8,0.539,30,1.76,2,2.938,18.46,1,0.402,3.536,2,0.0,0.934,0.296,0.295,2.938,0.0,9.474,30.69,0.146,1.381,0.54
119,-18.642,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,7,-18.3,3.21,0.59,0.629,24.0,-6.0,-33.05,1,1.0,-1.785,0.59,0.543,-0.05,0.0,1.8,1.934,0.204,1,2.23,2.083,0.597,4.722,4.722,686.291,9.444,0.0,-0.353,-1.756,0.5,0.353,1.67,1.967,1.984,5,1,0.0,56,2.5,0.0,0,122.145,1.655,4.284,1.655,0.295,20.007,0.0,-177.1,1,-72.3,0.539,9.474,0.0,2,0.5,-0.08,0.934,-98.8,0.539,30,1.76,2,2.938,18.46,1,0.402,3.536,2,0.0,0.934,0.296,0.295,2.938,0.0,9.474,30.69,0.146,1.381,0.54
120,-16.946,l,cationic,C1COCO1,False,False,False,True,False,False,False,False,True,False,7,-18.65,3.27,0.59,0.629,24.0,-6.0,-35.6,1,1.0,-1.785,0.59,0.543,-0.057,0.0,1.8,1.934,0.204,1,0.25,2.083,0.597,4.722,4.722,686.291,9.444,1.0,-0.353,-1.756,0.5,0.353,1.65,1.967,1.984,5,1,0.0,56,2.5,0.0,0,122.145,1.655,4.284,1.655,0.295,20.007,0.0,-177.1,1,-72.3,0.539,9.474,0.0,2,0.5,-0.08,0.934,-98.8,0.539,30,1.76,2,2.938,18.46,1,0.402,3.536,2,0.0,0.934,0.296,0.295,2.938,0.0,9.474,30.69,0.146,1.381,0.54
