target_Name,model,nested_cv_mae,nested_cv_std,nested_cv_r2_mean,nested_cv_r2_std,test_mae,test_r2,split_type
enthalpy,gpr,2.58,0.4,0.71,0.09,2.13,0.83,phase
enthalpy,rf,2.43,0.37,0.71,0.1,1.27,0.92,phase
enthalpy,xgb,2.43,0.4,0.71,0.1,1.54,0.9,phase
enthalpy,svr,2.79,0.44,0.6,0.12,2.01,0.77,phase
enthalpy,krr,2.69,0.47,0.69,0.11,2.05,0.82,phase
entropy,gpr,4.07,0.49,0.74,0.13,3.36,0.77,phase
entropy,rf,3.92,0.33,0.76,0.13,3.55,0.77,phase
entropy,xgb,3.97,0.41,0.76,0.1,3.64,0.72,phase
entropy,svr,4.21,0.45,0.72,0.15,3.36,0.8,phase
entropy,krr,6.95,8.55,-19.23,59.89,3.91,0.67,phase
enthalpy,gpr,3.21,0.79,0.58,0.18,2.13,0.83,chemistry_cluster
enthalpy,rf,2.75,0.47,0.67,0.11,1.31,0.92,chemistry_cluster
enthalpy,xgb,2.81,0.45,0.66,0.1,1.54,0.9,chemistry_cluster
enthalpy,svr,3.17,0.52,0.53,0.1,2.01,0.77,chemistry_cluster
enthalpy,krr,3.67,1.93,0.24,1.06,1.95,0.85,chemistry_cluster
entropy,gpr,4.21,0.61,0.76,0.07,3.36,0.77,chemistry_cluster
entropy,rf,4.14,0.79,0.76,0.08,3.54,0.76,chemistry_cluster
entropy,xgb,4.26,0.9,0.75,0.09,4.06,0.69,chemistry_cluster
entropy,svr,4.7,0.85,0.7,0.1,3.36,0.8,chemistry_cluster
entropy,krr,7.54,9.01,-32.46,99.55,3.91,0.67,chemistry_cluster
